评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5274837371,塔达林傲娇领主,男,北京,821,304,160,华为是韩国5G服务提供商的最重要硬件提供商，其5G商用化华为功不可没，这同样适用于摩洛哥,8,2019-10-11 12:09
https://weibo.cn//u/6584833288,鹏城一枝花,男,广东,124,65,254,三星说允许了么？,7,2019-10-11 12:05
https://weibo.cn//u/5617361212,拥抱着zpp的滋味,男,江苏,16,21,14,回复@随心就好Lin:废话我知道是4G的,0,2019-10-20 01:57
https://weibo.cn//u/5297866515,申请加载中99,女,广西,103,174,35,挺好，不过，我等地铁就没有无聊过，这可如何是好！？,0,2019-10-14 12:00
https://weibo.cn//u/5152831656,甜橙色素剂,女,海南,12436,443,186,韩国5g技术是华为供应商！手机给砸了，下一部铁定华为了,0,2019-10-12 20:32
https://weibo.cn//u/5501979730,锦鲤本鲤毛小宇,男,湖北,3045,849,1381,回复@twfjcn:不是，你觉得三星说不行有用吗,0,2019-10-12 12:57
https://weibo.cn//u/2122722484,满地无主的ipad,男,北京,2183,63,222,回复@twfjcn:三星又不是政府，要他允许？,0,2019-10-12 12:43
https://weibo.cn//536783766,执剑面壁人,男,海外,2761,329,43,这个简直厉害了~~,1,2019-10-12 10:21
https://weibo.cn//u/7153974165,烙天饼,男,上海,16,26,128,他们国土小，可以很快翻盖,1,2019-10-12 10:20
https://weibo.cn//u/2694205363,Char51,男,湖北,28,216,98,回复@猫神的乐天派小跟班:当然不影响  三星股东美国还是大头呢,0,2019-10-12 08:24
https://weibo.cn//rosinnn,耕雨少女,女,上海,2339,1108,11279,回复@泰瑞bvb:华为的确就这样啊,0,2019-10-12 06:59
https://weibo.cn//terrywen330,泰瑞bvb,男,其他,526,539,281,要脸不？,0,2019-10-12 01:24
https://weibo.cn//u/6073890233,咖啡厅的面包,男,安徽,30,54,9,韩国5g商用了，我们什么时候才能用啊,0,2019-10-11 21:21
https://weibo.cn//u/5647100337,xwttx,男,其他,171,170,201,回复@耕雨少女:挣了多少钱,0,2019-10-11 16:51
https://weibo.cn//kikitsubas,ST-TSUBASA,女,北京,186,769,472,小哥哥左耳带了耳钉,0,2019-10-11 16:04
https://weibo.cn//leefzwb,-贰拾叁年蝉-,男,四川,1488,298,209,回复@猫神的乐天派小跟班:Lgu+用的95%都是华为的，其它两家用的三星、诺基亚、爱立信等，华为总占比还可以，毕竟在人家主场。,0,2019-10-11 15:36
https://weibo.cn//u/1643962207,沈苍生123,男,其他,15,61,7,回复@食工1603清雅爱:你没看过采访类的节目？？？,0,2019-10-11 14:24
https://weibo.cn//u/5482396999,猫神的乐天派小跟班,男,四川,278,345,254,回复@Jacoolbees:谁说的三星没有,0,2019-10-11 13:52
https://weibo.cn//u/5482396999,猫神的乐天派小跟班,男,四川,278,345,254,回复@clannad赛高:三星为主哈,1,2019-10-11 13:52
https://weibo.cn//u/6617768523,clannad222,女,其他,192,147,23,回复@猫神的乐天派小跟班:又不是全是三星的技术,0,2019-10-11 13:44
https://weibo.cn//u/2237332362,holo禾堂,男,广东,954,180,904,韩国的5G是来自于华为的 不然华为官博也不会发这条微博 懂不懂？,2,2019-10-11 13:41
https://weibo.cn//u/6604908258,Jacoolbees,男,其他,19,42,5,回复@twfjcn:三星没有吧。。。,2,2019-10-11 13:30
https://weibo.cn//u/5984735354,丶大象迷了路,女,上海,432,69,180,回复@猫神的乐天派小跟班:lgu+是华为的，其它三星诺基亚爱立信的,0,2019-10-11 13:02
https://weibo.cn//u/5482396999,猫神的乐天派小跟班,男,四川,278,345,254,回复@塔达林傲娇领主:三星是韩国基站的主要提供者吧,0,2019-10-11 13:00
https://weibo.cn//u/5482396999,猫神的乐天派小跟班,男,四川,278,345,254,回复@clannad赛高:三星又不是买华为的技术,0,2019-10-11 12:59
https://weibo.cn//u/6617768523,clannad222,女,其他,192,147,23,回复@猫神的乐天派小跟班:这里说的是技术,0,2019-10-11 12:56
https://weibo.cn//u/2285192384,半岛詹姆斯,男,江苏,3247,558,517,所以文在寅要被搞下台吗,0,2019-10-11 12:52
https://weibo.cn//u/2108745597,NealChalmers,男,其他,299,188,229,回复@画中悲欢离合Zz:中国人嘛，到韩国搞5g，到非洲搞大坝，有钱赚，发展才是硬道理,3,2019-10-11 12:43
https://weibo.cn//u/2434484917,蹦迪不崴脚yyyyy岳,男,天津,289,255,1578,一定要好好做产品啊，加油！,0,2019-10-11 12:41
https://weibo.cn//u/5399312150,朱老六六六,男,河北,330,117,182,这男的脸把我惊呆了,1,2019-10-11 12:39
https://weibo.cn//u/2561235335,有多香,男,江苏,34,88,61,这个艺术展给我看呆了,1,2019-10-11 12:31
https://weibo.cn//u/5617361212,拥抱着zpp的滋味,男,江苏,16,21,14,官网买的mate30pro八号晚上发货ems到今天还没到……这邮政太慢了,0,2019-10-11 12:25
https://weibo.cn//u/5810430730,李修杰李弘懿李诗兰李盼易,男,陕西,23,43,31,所以他们一个说英语一个说韩语是怎么对话的？,6,2019-10-11 12:18
https://weibo.cn//lijielun,河北笨熊解说,女,河北,66063,85,1802,     举报             赞[0]         回复             2019-10-11 12:16:36 来自网页,0,2019-10-11 12:16
https://weibo.cn//gaoxiaoaliu,路彼林,男,其他,2914,779,433,回复@朱红院:韩国软实力很强，提早搭上5G快车不一定就是我们占便宜,1,2019-10-11 12:13
https://weibo.cn//u/6856960799,爱机萨拉木,男,其他,17,135,32,手里好像用的是LG是吧,2,2019-10-11 12:12
https://weibo.cn//u/5274837371,塔达林傲娇领主,男,北京,821,304,160,华为是韩国5G服务提供商的最重要硬件提供商，其5G商用化华为功不可没，这同样适用于摩洛哥,8,2019-10-11 12:09
https://weibo.cn//u/6319847479,東方明珠无尤争一儿,男,其他,617,135,97,就问你一句，中国为何咪做到世界第一商用。。。影响何其之大//。？,1,2019-10-11 12:05
https://weibo.cn//u/6584833288,鹏城一枝花,男,广东,124,65,254,三星说允许了么？,7,2019-10-11 12:05
https://weibo.cn//u/5482396999,猫神的乐天派小跟班,男,四川,278,345,254,韩国不是用的三星5g嘛,2,2019-10-11 12:03
https://weibo.cn//u/5036842474,-_-Cookies,男,福建,39,350,72,咱们中国也要加油！💪,3,2019-10-11 12:02
https://weibo.cn//u/2949989907,朱红院,男,海外,7745,9,108647,华为5G，划重点,5,2019-10-11 12:02
https://weibo.cn//u/5654484612,血色-rose,男,浙江,24757,1776,586,所以5g版本gkd,1,2019-10-11 12:02
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5274837371,塔达林傲娇领主,男,北京,821,304,160,华为是韩国5G服务提供商的最重要硬件提供商，其5G商用化华为功不可没，这同样适用于摩洛哥,8,2019-10-11 12:09
https://weibo.cn//u/6584833288,鹏城一枝花,男,广东,124,65,254,三星说允许了么？,7,2019-10-11 12:05
https://weibo.cn//u/5617361212,拥抱着zpp的滋味,男,江苏,16,21,14,回复@随心就好Lin:废话我知道是4G的,0,2019-10-20 01:57
https://weibo.cn//u/5297866515,申请加载中99,女,广西,103,174,35,挺好，不过，我等地铁就没有无聊过，这可如何是好！？,0,2019-10-14 12:00
https://weibo.cn//u/5152831656,甜橙色素剂,女,海南,12445,443,186,韩国5g技术是华为供应商！手机给砸了，下一部铁定华为了,0,2019-10-12 20:32
https://weibo.cn//u/5501979730,锦鲤本鲤毛小宇,男,湖北,3049,850,1382,回复@twfjcn:不是，你觉得三星说不行有用吗,0,2019-10-12 12:57
https://weibo.cn//u/2122722484,满地无主的ipad,男,北京,2183,63,222,回复@twfjcn:三星又不是政府，要他允许？,0,2019-10-12 12:43
https://weibo.cn//536783766,执剑面壁人,男,海外,2761,329,43,这个简直厉害了~~,1,2019-10-12 10:21
https://weibo.cn//u/7153974165,烙天饼,男,上海,16,26,128,他们国土小，可以很快翻盖,1,2019-10-12 10:20
https://weibo.cn//u/2694205363,Char51,男,湖北,28,216,98,回复@猫神的乐天派小跟班:当然不影响  三星股东美国还是大头呢,0,2019-10-12 08:24
https://weibo.cn//rosinnn,耕雨少女,女,上海,2339,1112,11279,回复@泰瑞bvb:华为的确就这样啊,0,2019-10-12 06:59
https://weibo.cn//terrywen330,泰瑞bvb,男,其他,526,540,281,要脸不？,0,2019-10-12 01:24
https://weibo.cn//u/6073890233,咖啡厅的面包,男,安徽,30,54,9,韩国5g商用了，我们什么时候才能用啊,0,2019-10-11 21:21
https://weibo.cn//u/5647100337,xwttx,男,其他,171,170,201,回复@耕雨少女:挣了多少钱,0,2019-10-11 16:51
https://weibo.cn//kikitsubas,ST-TSUBASA,女,北京,186,769,472,小哥哥左耳带了耳钉,0,2019-10-11 16:04
https://weibo.cn//leefzwb,-贰拾叁年蝉-,男,四川,1488,298,209,回复@猫神的乐天派小跟班:Lgu+用的95%都是华为的，其它两家用的三星、诺基亚、爱立信等，华为总占比还可以，毕竟在人家主场。,0,2019-10-11 15:36
https://weibo.cn//u/1643962207,沈苍生123,男,其他,15,61,7,回复@食工1603清雅爱:你没看过采访类的节目？？？,0,2019-10-11 14:24
https://weibo.cn//u/5482396999,猫神的乐天派小跟班,男,四川,278,345,254,回复@Jacoolbees:谁说的三星没有,0,2019-10-11 13:52
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5274837371,塔达林傲娇领主,男,北京,821,304,160,华为是韩国5G服务提供商的最重要硬件提供商，其5G商用化华为功不可没，这同样适用于摩洛哥,8,2019-10-11 12:09
https://weibo.cn//u/6584833288,鹏城一枝花,男,广东,124,65,254,三星说允许了么？,7,2019-10-11 12:05
https://weibo.cn//u/5617361212,拥抱着zpp的滋味,男,江苏,16,21,14,回复@随心就好Lin:废话我知道是4G的,0,2019-10-20 01:57
https://weibo.cn//u/5297866515,申请加载中99,女,广西,103,174,35,挺好，不过，我等地铁就没有无聊过，这可如何是好！？,0,2019-10-14 12:00
https://weibo.cn//u/5152831656,甜橙色素剂,女,海南,12445,443,186,韩国5g技术是华为供应商！手机给砸了，下一部铁定华为了,0,2019-10-12 20:32
https://weibo.cn//u/5501979730,锦鲤本鲤毛小宇,男,湖北,3049,850,1382,回复@twfjcn:不是，你觉得三星说不行有用吗,0,2019-10-12 12:57
https://weibo.cn//u/2122722484,满地无主的ipad,男,北京,2183,63,222,回复@twfjcn:三星又不是政府，要他允许？,0,2019-10-12 12:43
https://weibo.cn//536783766,执剑面壁人,男,海外,2761,329,43,这个简直厉害了~~,1,2019-10-12 10:21
https://weibo.cn//u/7153974165,烙天饼,男,上海,16,26,128,他们国土小，可以很快翻盖,1,2019-10-12 10:20
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5274837371,塔达林傲娇领主,男,北京,821,297,160,华为是韩国5G服务提供商的最重要硬件提供商，其5G商用化华为功不可没，这同样适用于摩洛哥,8,2019-10-11 12:09
https://weibo.cn//u/6584833288,鹏城一枝花,男,广东,125,65,254,三星说允许了么？,7,2019-10-11 12:05
https://weibo.cn//u/5617361212,拥抱着zpp的滋味,男,江苏,16,21,14,回复@随心就好Lin:废话我知道是4G的,0,2019-10-20 01:57
https://weibo.cn//u/5297866515,申请加载中99,女,广西,103,174,35,挺好，不过，我等地铁就没有无聊过，这可如何是好！？,0,2019-10-14 12:00
https://weibo.cn//u/5152831656,甜橙色素剂,女,海南,12468,443,186,韩国5g技术是华为供应商！手机给砸了，下一部铁定华为了,0,2019-10-12 20:32
https://weibo.cn//u/5501979730,锦鲤本鲤毛小宇,男,湖北,3055,850,1382,回复@twfjcn:不是，你觉得三星说不行有用吗,0,2019-10-12 12:57
https://weibo.cn//u/2122722484,满地无主的ipad,女,北京,2186,66,222,回复@twfjcn:三星又不是政府，要他允许？,0,2019-10-12 12:43
https://weibo.cn//536783766,执剑面壁人,男,海外,2761,329,43,这个简直厉害了~~,1,2019-10-12 10:21
https://weibo.cn//u/7153974165,烙天饼,男,上海,16,26,128,他们国土小，可以很快翻盖,1,2019-10-12 10:20
