评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2943941954,一滴糯米,女,广东,225,334,109,可以问问是哪个采访吗！！！最近太忙了,0,2021-04-19 09:55
https://weibo.cn//u/5457306733,今天吃好吃的了没_,女,北京,687,328,79,耳边又响起那句“唱出关于我平凡梦想的苦辣酸甜”,5,2021-04-19 12:22
https://weibo.cn//u/2296716800,霍麻辣的亲嫂子er,女,广东,5193,522,2557,确实会逐渐觉得世界把人变得好复杂，但是你的歌你的善良真诚教会了我该带着善意理解这个世界，带着善意爱自己。,5,2021-04-19 14:21
https://weibo.cn//u/5706470971,半糖去冰qwq,女,江苏,487,416,86,     举报             赞[0]         回复             今天 12:51 来自网页,0,2021-04-20 12:51 
https://weibo.cn//u/2296716800,霍麻辣的亲嫂子er,女,广东,5193,522,2557,确实会逐渐觉得世界把人变得好复杂，但是你的歌你的善良真诚教会了我该带着善意理解这个世界，带着善意爱自己。,5,2021-04-19 14:21
https://weibo.cn//u/6604382005,秋名山卐大风车,女,其他,804,324,20,带着善意理解世界 也要善意的理解自己 李润祺你菩萨转世,0,2021-04-19 12:41
https://weibo.cn//u/6177388534,杼思,女,内蒙古,174,49,19,用善良与温柔对待世界,0,2021-04-19 12:38
https://weibo.cn//u/5457306733,今天吃好吃的了没_,女,北京,687,328,79,耳边又响起那句“唱出关于我平凡梦想的苦辣酸甜”,5,2021-04-19 12:22
https://weibo.cn//u/5634788357,焕焕_Galaxy,女,北京,22536,2435,1058,善良而又温柔的李润祺,0,2021-04-19 11:58
https://weibo.cn//u/2745123370,孙小迷糊琪,女,海外,1397,66,278,善良的人 终会被善待和被爱,0,2021-04-19 10:47
https://weibo.cn//u/3940210301,船长大小姐,女,上海,1401,487,196,不求顶天立地，但求无愧于心，希望世界也能给你最大的善意,0,2021-04-19 10:33
https://weibo.cn//u/7510290370,冰藍QI,女,香港,517,138,17,又通透又善良的祺祺。年紀那麼少，真令人佩服,0,2021-04-19 10:14
https://weibo.cn//u/5246681485,海苔小里,女,山东,824,227,39,心里有爱的祺祺,0,2021-04-19 10:13
https://weibo.cn//u/2874304345,_咕咕酱,女,四川,1949,256,110,回复@一滴糯米:新潮 负责文案编辑的小姐姐,0,2021-04-19 10:03
https://weibo.cn//u/5210289978,鹿茸倾,女,湖南,3911,1530,212,小李充满善良和光啊,0,2021-04-19 09:58
https://weibo.cn//u/2943941954,一滴糯米,女,广东,225,334,109,可以问问是哪个采访吗！！！最近太忙了,0,2021-04-19 09:55
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2943941954,一滴糯米,女,广东,226,334,109,可以问问是哪个采访吗！！！最近太忙了,0,2021-04-19 09:55
https://weibo.cn//u/5457306733,今天吃好吃的了没_,女,北京,687,328,79,耳边又响起那句“唱出关于我平凡梦想的苦辣酸甜”,5,2021-04-19 12:22
https://weibo.cn//u/2296716800,霍麻辣的亲嫂子er,女,广东,5193,522,2557,确实会逐渐觉得世界把人变得好复杂，但是你的歌你的善良真诚教会了我该带着善意理解这个世界，带着善意爱自己。,5,2021-04-19 14:21
https://weibo.cn//u/5706470971,半糖去冰qwq,女,江苏,487,416,86,     举报             赞[0]         回复             今天 12:51 来自网页,0,2021-04-20 12:51 
https://weibo.cn//u/2296716800,霍麻辣的亲嫂子er,女,广东,5193,522,2557,确实会逐渐觉得世界把人变得好复杂，但是你的歌你的善良真诚教会了我该带着善意理解这个世界，带着善意爱自己。,5,2021-04-19 14:21
https://weibo.cn//u/6604382005,秋名山卐大风车,女,其他,804,324,20,带着善意理解世界 也要善意的理解自己 李润祺你菩萨转世,0,2021-04-19 12:41
https://weibo.cn//u/6177388534,杼思,女,内蒙古,174,49,19,用善良与温柔对待世界,0,2021-04-19 12:38
https://weibo.cn//u/5457306733,今天吃好吃的了没_,女,北京,687,328,79,耳边又响起那句“唱出关于我平凡梦想的苦辣酸甜”,5,2021-04-19 12:22
https://weibo.cn//u/5634788357,焕焕_Galaxy,女,北京,22536,2435,1058,善良而又温柔的李润祺,0,2021-04-19 11:58
https://weibo.cn//u/2745123370,孙小迷糊琪,女,海外,1397,66,278,善良的人 终会被善待和被爱,0,2021-04-19 10:47
https://weibo.cn//u/3940210301,船长大小姐,女,上海,1401,487,196,不求顶天立地，但求无愧于心，希望世界也能给你最大的善意,0,2021-04-19 10:33
https://weibo.cn//u/7510290370,冰藍QI,女,香港,517,138,17,又通透又善良的祺祺。年紀那麼少，真令人佩服,0,2021-04-19 10:14
https://weibo.cn//u/5246681485,海苔小里,女,山东,824,227,39,心里有爱的祺祺,0,2021-04-19 10:13
https://weibo.cn//u/2874304345,_咕咕酱,女,四川,1949,256,110,回复@一滴糯米:新潮 负责文案编辑的小姐姐,0,2021-04-19 10:03
https://weibo.cn//u/5210289978,鹿茸倾,女,湖南,3912,1530,212,小李充满善良和光啊,0,2021-04-19 09:58
https://weibo.cn//u/2943941954,一滴糯米,女,广东,226,334,109,可以问问是哪个采访吗！！！最近太忙了,0,2021-04-19 09:55
