评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7530461662,禁萝star,女,河北,566,204,54,迪丽热巴李长歌,0,2021-04-18 10:42
https://weibo.cn//u/5545329278,偏爱胖迪小盆友,女,江西,2729,323,170,回迪丽热巴李长歌,0,2021-04-18 10:42
https://weibo.cn//u/7432779120,唯一人在心上,女,四川,2045,293,560,首页互评迪丽热巴李长歌互迪丽,0,2021-04-18 10:41
https://weibo.cn//u/5941367031,大鸽的草帽2,女,其他,138,33,7,回【迪丽热巴长歌行】,0,2021-04-18 11:01
https://weibo.cn//u/5634843496,小妩要养一只月亮,女,江苏,1823,263,45,迪丽热巴李长歌已回,0,2021-04-18 10:59
https://weibo.cn//u/7576123694,大鸽的草帽1,女,其他,141,35,7,回【迪丽热巴长歌行】,0,2021-04-18 10:57
https://weibo.cn//u/7458857228,大美女8的87,女,吉林,1553,76,20,回迪丽热巴李长歌【迪丽热巴长歌行】,0,2021-04-18 10:49
https://weibo.cn//u/6390437837,dear柏丽特,女,海外,2202,330,189,互 迪丽热巴长歌长歌我爱你,0,2021-04-18 10:47
https://weibo.cn//u/6032347195,小疯子洛宸1990,女,河南,9220,1194,76,【迪丽热巴长歌行】,0,2021-04-18 10:45
https://weibo.cn//u/5533140214,Serendipity1312,女,湖南,556,156,73,互评迪丽热巴,0,2021-04-18 10:45
https://weibo.cn//u/6098131995,FANTASYG_wsam1,女,其他,1119,138,8,【迪丽热巴长歌行】,0,2021-04-18 10:43
https://weibo.cn//u/7530461662,禁萝star,女,河北,566,204,54,迪丽热巴李长歌,0,2021-04-18 10:43
https://weibo.cn//u/5545329278,偏爱胖迪小盆友,女,江西,2729,323,170,回迪丽热巴李长歌,0,2021-04-18 10:43
https://weibo.cn//u/6568320265,刺猬头目,女,江苏,1368,254,59,迪丽热巴回,0,2021-04-18 10:42
https://weibo.cn//u/7432779120,唯一人在心上,女,四川,2045,293,560,首页互评迪丽热巴李长歌互迪丽,0,2021-04-18 10:42
https://weibo.cn//u/6200570622,我是过期小盆友,女,海外,2925,570,25,回迪丽热巴李长歌,0,2021-04-18 10:42
https://weibo.cn//u/7457486913,老王的酸奶疙瘩0603,女,广东,413,56,1,迪丽热巴李长歌回,0,2021-04-18 10:42
https://weibo.cn//u/5977887836,Z嘀嘀叭叭,女,广东,678,152,73,回你 迪丽热巴长歌行,0,2021-04-18 10:41
https://weibo.cn//u/7476496949,樱桃小奶罐,女,吉林,155,51,3,回，迪丽热巴李长歌,0,2021-04-18 10:41
https://weibo.cn//u/6308506792,是你搞不懂的人,男,其他,1683,448,24,长歌行迪丽热巴李长歌，回你了,0,2021-04-18 10:41
https://weibo.cn//u/7432058192,惜文-恨天,女,宁夏,1046,1379,29,首页互评，互评互评互评互评互评,0,2021-04-18 10:41
https://weibo.cn//u/6008926557,烧饼夹个串儿,女,其他,6720,327,544,助攻不用回,0,2021-04-18 10:40
https://weibo.cn//u/6343126442,小桔子吖D,女,海外,2610,94,50,回你啦 迪丽热巴李长歌,0,2021-04-18 10:40
https://weibo.cn//u/5504419668,619Jane,女,其他,1566,86,16,回，迪丽热巴李长歌,0,2021-04-18 10:40
https://weibo.cn//u/5622706410,Dear-Vision,男,新疆,2389,243,20,互 【迪丽热巴长歌行】,0,2021-04-18 10:40
https://weibo.cn//u/6354891572,Hmasing,女,湖北,195,89,24,首页互谢谢迪丽热巴乔晶晶,0,2021-04-18 10:40
https://weibo.cn//u/5115991916,溜掉最可爱的鱼,女,海外,848,185,511,迪丽热巴李长歌,0,2021-04-18 10:40
https://weibo.cn//u/5707064994,大鸽的草帽,男,其他,147,45,6, dlrb,0,2021-04-18 10:39
https://weibo.cn//u/2306864175,她喜欢夏天D-Q,女,山东,992,377,138,迪丽热巴李长歌,0,2021-04-18 10:39
https://weibo.cn//u/6461519669,武钟卢_gmul,男,湖南,195,119,18,首页互评谢谢,0,2021-04-18 10:39
https://weibo.cn//u/5674909888,长歌行太绝了,女,新疆,2307,248,76,迪丽热巴李长歌首页互,0,2021-04-18 10:39
https://weibo.cn//u/6869892910,Dear-某人w,女,湖南,342,149,75,助攻 不用回【迪丽热巴长歌行】,0,2021-04-18 10:38
https://weibo.cn//u/6667184302,无聊的小dou包,女,广东,1939,208,26,迪丽热巴李长歌     首页互谢谢,0,2021-04-18 10:38
