评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3242269022,汤圆小可爱x,女,浙江,485,535,105,@和平精英,2,2021-04-18 10:43
https://weibo.cn//u/2909823202,静了个静呀,女,江苏,223,489,192,4➕1的话 玩家都开心了 光子也不少赚 多好呀,1,2021-04-18 10:45
https://weibo.cn//u/6079782306,美国边远小岛的魔法公主,女,其他,332,93,589,小丑鱼的图好赞,1,2021-04-18 10:42
https://weibo.cn//u/3230629992,2xxAce,女,河北,128,171,2705,回复@2xxAce:upupup,0,2021-04-18 11:16
https://weibo.cn//u/3230629992,2xxAce,女,河北,128,171,2705,@和平精英,0,2021-04-18 11:15
https://weibo.cn//u/6088451987,遗憾篇,女,其他,24,38,52,@和平精英,1,2021-04-18 10:52
https://weibo.cn//u/2909823202,静了个静呀,女,江苏,223,489,192,回复@静了个静呀:@和平精英,0,2021-04-18 10:46
https://weibo.cn//u/2909823202,静了个静呀,女,江苏,223,489,192,4➕1的话 玩家都开心了 光子也不少赚 多好呀,1,2021-04-18 10:45
https://weibo.cn//u/3242269022,汤圆小可爱x,女,浙江,485,535,105,@和平精英,2,2021-04-18 10:43
https://weibo.cn//u/6079782306,美国边远小岛的魔法公主,女,其他,332,93,589,小丑鱼的图好赞,1,2021-04-18 10:42
https://weibo.cn//u/5664996871,有花呀有花,女,安徽,109,314,67,我觉得光子是为了吊人胃口 还有下一次返场,1,2021-04-18 10:40
https://weibo.cn//u/6065295945,冰冻Natalie,女,黑龙江,188,505,65,  4+1 4+1  4+1 实在不行3+1也行,1,2021-04-18 10:40
https://weibo.cn//u/5664996871,有花呀有花,女,安徽,109,314,67,@和平精英,1,2021-04-18 10:39
