评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6475449974,王炎女青君,男,湖北,81,41,56,每年一问，电子类几天出成绩,1,2021-04-18 14:49 
https://weibo.cn//u/6518674455,1笑2过-,男,其他,24,101,26,什么时候出排名呢,0,2021-04-18 14:39 
https://weibo.cn//u/6315849043,快乐二狗丫,男,广东,32,173,291,赛前:重铸省一荣光，我辈义不容辞！ 赛时:？？？ 赛后:我要退钱,2,2021-04-18 17:50 
https://weibo.cn//u/6015949883,牙疼max,男,其他,0,10,2,有无答案,0,2021-04-18 06:35
https://weibo.cn//u/7096835461,hhhhhh大大怪下士,男,陕西,21,69,5,回复@Ki_Seki:b组不是76嘛，第一题,1,2021-04-18 06:30
https://weibo.cn//u/6877472344,伦伈,男,其他,0,66,2,回复@Ki_Seki:第四题呢,0,2021-04-18 21:06 
https://weibo.cn//u/6877472344,伦伈,男,其他,0,66,2,回复@Ki_Seki:我具体数字不太记得，第三题我写的是两千多吧,0,2021-04-18 21:05 
https://weibo.cn//u/6877472344,伦伈,男,其他,0,66,2,回复@Ki_Seki:1和2同，第三题不一样喔,0,2021-04-18 21:05 
https://weibo.cn//u/7480614715,塌鼻的谭糖www,女,其他,773,56,2,回复@塌鼻的谭糖www:A组,0,2021-04-18 20:17 
https://weibo.cn//u/7480614715,塌鼻的谭糖www,女,其他,773,56,2,今年这个难度。。。对两题填空题，有机会拿奖吗,0,2021-04-18 20:17 
https://weibo.cn//u/6518674455,1笑2过-,男,其他,24,101,26,回复@蓝桥杯大赛:蟹蟹,0,2021-04-18 18:06 
https://weibo.cn//u/6350896300,Ki_Seki,男,河南,41,93,46,回复@33的卡布:3的话你是多少呀,0,2021-04-18 17:53 
https://weibo.cn//u/6315849043,快乐二狗丫,男,广东,32,173,291,赛前:重铸省一荣光，我辈义不容辞！ 赛时:？？？ 赛后:我要退钱,2,2021-04-18 17:50 
https://weibo.cn//u/6592424159,悲欢_并不相通,女,重庆,555,1224,128,能统计下软件类的Python组有多少人参加吗,0,2021-04-18 17:45 
https://weibo.cn//u/5247264403,新峰华兴,男,福建,4,167,1,我参与了,0,2021-04-18 17:39 
https://weibo.cn//u/5886174611,33的卡布,男,江西,61,2,3,回复@Ki_Seki:1 2同,0,2021-04-18 17:35 
https://weibo.cn//u/6350896300,Ki_Seki,男,河南,41,93,46,b组答案，有同吗 67108864 3181 47753,0,2021-04-18 17:09 
https://weibo.cn//u/5660921430,小野人61866,男,其他,349,332,251,回复@今天也是东宫男孩呀:1000000007,0,2021-04-18 17:03 
https://weibo.cn//linderu,林庭有茹,男,其他,287,121,63,可以发布答案咩,0,2021-04-18 16:47 
https://weibo.cn//u/2593315357,喵喵小鱼er,男,广东,2347,962,168,暴力杯不暴力了，还有意义吗,2,2021-04-18 16:29 
https://weibo.cn//u/6036101375,一位技术同学,女,四川,25,50,2,题目有电子版吗，想看看,0,2021-04-18 15:26 
https://weibo.cn//u/5672106862,今天也是东宫男孩呀,男,甘肃,1210,971,463,回复@秋川幸子_:四个小时没出 真的哭了,0,2021-04-18 15:19 
https://weibo.cn//243459465,秋川幸子_,女,山东,76,147,755,回复@今天也是东宫男孩呀:！我也是 暴力等了好久都没出,0,2021-04-18 15:11 
https://weibo.cn//u/5672106862,今天也是东宫男孩呀,男,甘肃,1176,910,463,为啥第三题要出那么大的数？？？机房的电脑算了4个小时没算出来  那么大的数太坑人了吧  分数白白就没了,2,2021-04-18 15:08 
https://weibo.cn//678663688,蓝桥杯大赛,男,北京,1326,459,105521,回复@1笑2过-:两周左右,1,2021-04-18 14:58 
https://weibo.cn//678663688,蓝桥杯大赛,男,北京,1326,459,105521,回复@王炎女青君:大约两周,0,2021-04-18 14:58 
https://weibo.cn//u/6475449974,王炎女青君,男,湖北,81,41,56,每年一问，电子类几天出成绩,1,2021-04-18 14:49 
https://weibo.cn//u/6518674455,1笑2过-,男,其他,24,101,26,什么时候出排名呢,0,2021-04-18 14:39 
https://weibo.cn//u/6350896300,Ki_Seki,男,河南,41,93,46,有人对答案吗,0,2021-04-18 14:34 
