评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//573399711,西西福厮,男,北京,85317,1680,125624,我想用它去图书馆占个位子,0,2021-04-18 00:45
https://weibo.cn//u/1730775871,齐妙bobo,女,北京,309,360,153276,超好玩，我已经得到自行车了🚲,0,2021-04-18 00:44
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5625743829,张璇THU,女,北京,25,143,847,哈哈哈，太好玩了,0,2021-04-18 21:34 
https://weibo.cn//u/1730775871,齐妙bobo,女,北京,310,360,153342,超好玩，我已经得到自行车了🚲,0,2021-04-18 15:43 
https://weibo.cn//u/7214334788,水蜜桃和我们,女,河南,182,258,122,哈哈哈我就不体验了，我去过清华,0,2021-04-18 20:05 
https://weibo.cn//u/5625743829,张璇THU,女,北京,25,143,847,哈哈哈，太好玩了,0,2021-04-18 21:34 
https://weibo.cn//u/3821056664,我偶像是大S徐熙媛,女,其他,421,379,268,魂穿清华,0,2021-04-18 21:31 
https://weibo.cn//vampirejax,安维VampireJax,女,北京,7106,1489,1439,太牛了……我一看到二校门就路痴发作,0,2021-04-18 21:10 
https://weibo.cn//u/7211164287,大智若愚愚,男,上海,185,273,107,好玩儿吗，不是清华的能玩儿吗,0,2021-04-18 20:10 
https://weibo.cn//u/7211142625,黑糖波波冻,女,福建,436,136,100,哈哈哈我也，骄傲脸，清华的风景真不戳,0,2021-04-18 20:08 
https://weibo.cn//u/7214334788,水蜜桃和我们,女,河南,182,258,122,哈哈哈我就不体验了，我去过清华,0,2021-04-18 20:05 
https://weibo.cn//u/5444374183,空空白U,女,河南,71,183,42,这个游戏好。圆了大学梦,0,2021-04-18 19:59 
https://weibo.cn//u/1529031962,采花不戴花,男,北京,11709,118,183,//,0,2021-04-18 16:54 
https://weibo.cn//zhiming13411108813,日月青争空间,男,广东,10247,2151,298,转发微博,0,2021-04-18 16:23 
https://weibo.cn//u/5581932707,量化情绪指数,男,北京,2099,1075,397,都能玩，还只是限校友？,0,2021-04-18 16:13 
https://weibo.cn//heyseed,2020改为嘿哥,男,广东,53261,3903,1631,     举报             赞[0]         回复             今天 15:50 来自网页,0,2021-04-18 15:50 
https://weibo.cn//573399711,西西福厮,男,北京,85321,1679,125627,我想用它去图书馆占个位子,0,2021-04-18 15:43 
https://weibo.cn//u/1730775871,齐妙bobo,女,北京,310,360,153342,超好玩，我已经得到自行车了🚲,0,2021-04-18 15:43 
