评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//yiji1998,yjzoa,男,上海,2005,384,358,居然自带中文字幕了,847,2021-04-22 09:38 
https://weibo.cn//u/7492132395,-辛鹽-,女,北京,145,167,21,妈妈还有中文字幕？,443,2021-04-22 09:38 
https://weibo.cn//u/2345117331,山水虚深,女,重庆,708,300,390,中文字幕？,221,2021-04-22 09:40 
https://weibo.cn//u/5664796921,Taylor611,女,广东,5935,641,460,可爱死我了,0,2021-04-22 13:33
https://weibo.cn//u/7391828120,高架桥过去了_,男,其他,58,570,64,回复@大白唔好再食啦:笑死,0,2021-04-22 13:30
https://weibo.cn//u/5883706277,Yeee_OFFICIAL,女,其他,1770,551,147,     举报             赞[0]         回复             5分钟前 来自网页,0,2021-04-22 13:30
https://weibo.cn//u/6000529523,是包冷水呀,女,其他,146,114,33,Where is Meredith,0,2021-04-22 13:25
https://weibo.cn//u/6438248388,王尔德第一黑粉头,女,海外,646,287,168,i love youuu!!❤️❤️,0,2021-04-22 13:24
https://weibo.cn//u/6527140534,Xiaohuaer413,女,其他,23,148,22,"I look up, grinning like a devil. 😹😹😹😹😹",0,2021-04-22 13:23
https://weibo.cn//u/7401779549,butera_gws13,女,海外,1307,535,612,？中文字幕 谢谢妈咪,0,2021-04-22 13:21
https://weibo.cn//u/6536285453,未来未来未来星,女,其他,771,706,168,回复@未来未来未来星:,0,2021-04-22 13:21
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//yiji1998,yjzoa,男,上海,2005,384,358,居然自带中文字幕了,853,2021-04-22 09:38 
https://weibo.cn//u/7492132395,-辛鹽-,女,北京,145,167,21,妈妈还有中文字幕？,447,2021-04-22 09:38 
https://weibo.cn//u/2345117331,山水虚深,女,重庆,708,300,390,中文字幕？,224,2021-04-22 09:40 
https://weibo.cn//u/3173933660,壁橱里的迷妹,女,四川,196,134,3875,哈哈哈mere殿,0,2021-04-22 13:50
https://weibo.cn//u/5257991762,Worldwithswiftie,女,其他,1220,405,48,还有中文字幕hhhh,0,2021-04-22 13:49
https://weibo.cn//u/2214804031,LuluLulu_o,女,湖北,185,418,192,太贴心了我霉,0,2021-04-22 13:46
https://weibo.cn//u/6004194345,TS霉茜cc,男,广东,378,436,126,居然有字幕,0,2021-04-22 13:43
https://weibo.cn//u/7372430593,最最好的MJ,女,其他,2629,74,5,妈妈妈妈妈妈妈妈妈o(≧v≦)o,1,2021-04-22 13:43
https://weibo.cn//u/2371600955,Elaine_koo,女,重庆,1442,143,145,霉女和她的女王们,0,2021-04-22 13:43
https://weibo.cn//u/7326607395,麦克198808,女,上海,914,192,97, ,1,2021-04-22 13:42
https://weibo.cn//u/7283262406,TSSWEET-,女,江苏,757,120,16,     举报             赞[0]         回复             13分钟前 来自网页,0,2021-04-22 13:40
https://weibo.cn//u/1295864745,LisaLee_Three,女,陕西,8301,483,1257,中文字幕好评！,0,2021-04-22 13:38
https://weibo.cn//u/5664796921,Taylor611,女,广东,5935,641,460,可爱死我了,0,2021-04-22 13:34
https://weibo.cn//u/7391828120,高架桥过去了_,男,其他,58,570,64,回复@大白唔好再食啦:笑死,0,2021-04-22 13:31
https://weibo.cn//u/5883706277,Yeee_OFFICIAL,女,其他,1770,551,147,     举报             赞[0]         回复             23分钟前 来自网页,0,2021-04-22 13:30
https://weibo.cn//u/6000529523,是包冷水呀,女,其他,146,114,33,Where is Meredith,0,2021-04-22 13:25
https://weibo.cn//u/6438248388,王尔德第一黑粉头,女,海外,646,287,168,i love youuu!!❤️❤️,0,2021-04-22 13:24
https://weibo.cn//u/6527140534,Xiaohuaer413,女,其他,23,148,22,"I look up, grinning like a devil. 😹😹😹😹😹",0,2021-04-22 13:23
https://weibo.cn//u/7401779549,butera_gws13,女,海外,1307,535,612,？中文字幕 谢谢妈咪,0,2021-04-22 13:21
https://weibo.cn//u/6536285453,未来未来未来星,女,其他,771,706,168,回复@未来未来未来星:,0,2021-04-22 13:21
https://weibo.cn//u/5512739234,每个早起的早晨都好困,女,上海,494,832,146,回复@一怪物不求救一:我也想有没头脑,0,2021-04-22 13:21
https://weibo.cn//u/6527140534,Xiaohuaer413,女,其他,23,148,22,We know it now. 😹😹😹,0,2021-04-22 13:21
https://weibo.cn//u/6536285453,未来未来未来星,女,其他,771,706,168,中文？,0,2021-04-22 13:21
https://weibo.cn//u/5873630758,请你赶快去学习,女,其他,676,139,224,哈哈哈哈哈哈哈哈哈哈哈哈中文字幕诶,0,2021-04-22 13:20
https://weibo.cn//u/6536285453,未来未来未来星,女,其他,771,706,168,回复@ohhlh:救命好美的权重,0,2021-04-22 13:20
https://weibo.cn//u/1724153840,yuour_song,女,四川,950,410,57,我爱您！！,0,2021-04-22 13:19
https://weibo.cn//u/6393636364,Honeypomeloooooo,女,江苏,461,212,1273,哈哈哈哈哈哈中文字幕！太贴心了,0,2021-04-22 13:19
https://weibo.cn//707528670,腰果大人ed,女,江西,117,235,3,beautiful,0,2021-04-22 13:19
https://weibo.cn//u/7049332690,希金宀啊,女,河北,157,89,7,wiiiii爱了爱了还有中文字幕 呜呜呜呜,0,2021-04-22 13:16
https://weibo.cn//u/7459093869,霉仙女啊T·S泰勒,女,福建,64,82,22,霉霉好贴心！,0,2021-04-22 13:16
https://weibo.cn//u/5721099327,桃与橘,男,其他,16481,936,325,泰勒！！！居然有中文字幕,1,2021-04-22 13:13
https://weibo.cn//u/5852651124,sxtjames,男,海外,9764,909,265,字幕都有了😂,0,2021-04-22 13:13
https://weibo.cn//u/5852651124,sxtjames,男,海外,9764,909,265,     举报             赞[0]         回复             41分钟前 来自网页,0,2021-04-22 13:12
https://weibo.cn//u/1918515153,一斤梦话,女,广东,12524,649,61,好贴心的霉姐！特地为我加了中文字幕,0,2021-04-22 13:12
https://weibo.cn//u/5702305263,柠檬精本人了5555,女,其他,906,702,23,中文字幕棒,0,2021-04-22 13:12
https://weibo.cn//u/5428741910,Toronja-,女,其他,14,31,41,哈哈,0,2021-04-22 13:11
https://weibo.cn//u/1774741411,2021年的卷卷,女,其他,493,417,583,蟹蟹你做出这么好的歌给我们听,0,2021-04-22 13:11
https://weibo.cn//u/5640381367,幼儿园抢饭第一名TSY,女,广东,487,231,16,妈妈还贴心的加了字幕啊,0,2021-04-22 13:10
https://weibo.cn//u/5732122016,乔ling·,女,海外,43,32,105,回复@YEAHIMG:哟哟哟,0,2021-04-22 13:07
https://weibo.cn//u/5252039808,SpringHealer03,女,广东,522,452,223,"泰妈妈👩好贴心！加了中字！(PS:不过Mere殿“注重隐私""的想法💡倒是和我一样哈哈！",0,2021-04-22 13:06
https://weibo.cn//u/5252039808,SpringHealer03,女,广东,522,452,223,泰妈妈👩好贴心！加了中字！(PS:不过Mere殿“注重隐私的想法💡倒是和我一样哈哈！,0,2021-04-22 13:05
https://weibo.cn//u/3254866592,隻琪,女,广东,68,199,3615,老婆老婆,0,2021-04-22 13:04
https://weibo.cn//u/1778566037,Mxxxsil,女,海南,384,380,447,Mere皇：别烦我,0,2021-04-22 13:04
https://weibo.cn//u/7384383904,要减肥减掉50斤鸭,男,浙江,988,10,2,哈哈哈哈哈哈哈被迫营业的猫咪,0,2021-04-22 13:04
https://weibo.cn//u/3173945365,散步到夏宫,男,山东,4021,369,332,哈哈哈,0,2021-04-22 13:04
https://weibo.cn//u/6823953759,dmgmm呦呦呦,女,北京,1527,573,133,妈妈,0,2021-04-22 13:03
https://weibo.cn//u/5340124180,斯塔克工业员工_英菲尼提-赛格,男,上海,20975,1552,192,     举报             赞[0]         回复             50分钟前 来自网页,0,2021-04-22 13:03
https://weibo.cn//u/1796657867,HushOUCC,男,其他,333,268,441,love you,0,2021-04-22 13:03
https://weibo.cn//u/5714577439,wildesttay13,女,广东,407,162,18,     举报             赞[0]         回复             51分钟前 来自网页,0,2021-04-22 13:03
https://weibo.cn//u/5589453646,尤可爱,女,天津,1752,117,276,哈哈  可可爱爱,1,2021-04-22 13:02
https://weibo.cn//shinemmyisagoodgirl,想嫁给高桥一生的第N天,女,福建,1030,246,342,哈哈哈哈 也太可爱了 讨厌镜头注重隐私的猫猫,0,2021-04-22 13:02
https://weibo.cn//shinemmyisagoodgirl,想嫁给高桥一生的第N天,女,福建,1030,246,342,哈哈哈哈 也太可爱了 讨厌镜头注重隐私的猫猫,0,2021-04-22 13:02
https://weibo.cn//u/5722695027,拥有喵咪的旅行,男,其他,52,17,707,竟然加了中文字幕？¿,0,2021-04-22 13:00
https://weibo.cn//u/6558445688,一杯烤奶加泷珠加布丁加椰果,女,广东,664,76,120,哈哈哈哈,0,2021-04-22 13:00
https://weibo.cn//u/5719096619,TSY-BYF-A,女,重庆,135,24,50,@溪枕清秋,0,2021-04-22 13:00
https://weibo.cn//u/2644309244,chaewon_O,女,广东,1857,684,620,还带字幕啦哈哈哈,0,2021-04-22 12:58
https://weibo.cn//u/2003134851,-温柔的夜-,女,湖北,573,235,90,哈哈哈，点开竟然是中文字幕，而且M还这么不爱上镜,0,2021-04-22 12:57
https://weibo.cn//weikuen,二十四又七,女,海外,6597,345,550,congrats！！！,0,2021-04-22 12:57
https://weibo.cn//u/5737828733,·QQ弹弹还能拉丝·,男,海外,9626,2834,12186,中文字幕,1,2021-04-22 12:56
https://weibo.cn//u/3286575983,Misanthopist,女,其他,123,224,222,视频达人啊,0,2021-04-22 12:56 
https://weibo.cn//u/7432118510,hu不言,男,其他,2804,176,25,哈哈哈哈哈哈比较注重隐私的小猫，太可爱啦！！,0,2021-04-22 12:55 
https://weibo.cn//u/3952761462,还在成长的小屁孩,男,山西,1223,657,197,🐈🐈⬛❓,0,2021-04-22 12:55 
https://weibo.cn//u/6976143426,在逃霉国艾草,女,广东,105,185,13,回复@在逃霉国艾草:@TaylorSwift,0,2021-04-22 12:54 
https://weibo.cn//u/5583025152,黄桃卡仕达,女,其他,1475,774,276,傲娇的梅儿~,0,2021-04-22 12:54 
https://weibo.cn//u/6029737412,nn是zy,女,宁夏,2239,105,85,中文字幕好评,0,2021-04-22 12:54 
https://weibo.cn//u/6379242850,荔枝哈妮,女,山东,82,147,87,爱死了,0,2021-04-22 12:52 
https://weibo.cn//u/3094609951,可这一点也酷,女,其他,883,137,3,脑婆好漂亮,0,2021-04-22 12:52 
https://weibo.cn//u/6005800537,Young_Monkey,女,广东,621,394,79,中文字幕！！！,0,2021-04-22 12:52 
https://weibo.cn//u/5202829856,Oumogan,男,江苏,792,129,148,笑死 居然配了中文字幕,0,2021-04-22 12:51 
https://weibo.cn//u/3161307280,KiaoraDaisy,女,广东,437,212,86,太可爱了哈哈哈哈哈哈哈哈哈哈哈哈,1,2021-04-22 12:50 
