微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
Kc4oC3YWf,一颗琪琪琪,女,其他,187,193,一颗琪琪琪:白月光speak now什么时候重录嗷？@TaylorSwift  ,无,2021-04-22 13:03,iPhone 11 Pro Max,0,0,0,无
Kc4e9tHv4,Sparks_flyfly,女,山东,914,461,Sparks_flyfly:#TaylorSwift[超话]#Ins看到的一个彩蛋！！！！！Lover时期的发型和……人均福尔摩斯罢了 Sparks_flyfly的微博视频  ,无,2021-04-22 12:37,TaylorSwift超话,8,0,0,无
Kc4bl9qhV,AllTooWell1005,男,陕西,222,200,AllTooWell1005:#TaylorSwift[超话]# 收Cardigan 金白  ,无,2021-04-22 12:31 ,TaylorSwift超话,0,0,0,无
Kc407e9kQ,会思考的芦苇呦,男,吉林,71,137,会思考的芦苇呦:Champagne problems ~#TaylorSwift[超话]##索尼[超话]#  原图 ,无,2021-04-22 12:03 ,vivo X20全面屏手机,0,0,0,无
Kc3WMrO8X,TaylorSwiftLatest,女,海外,505,2929005,TaylorSwiftLatest:#TaylorSwift[超话]# 本周霉霉登顶billboard乡村音乐创作人和乡村音乐作曲者榜。成为史上首位同时登顶这两榜的艺人，也是唯一一位登顶乡村音乐作曲者榜的女艺人。  原图 ,无,2021-04-22 11:55 ,TaylorSwift超话,367,10,5,无
Kc3VH4y06,泰勒的霉霉,女,湖北,6,42,泰勒的霉霉:#TaylorSwift[超话]#刚刚看到妈妈的版税收入，那么很好奇妈妈的专辑销量收入是怎么分成的啊？  [组图共2张] 原图 ,无,2021-04-22 11:52 ,TaylorSwift超话,3,0,0,无
Kc3QdhHWo,植渔酱,女,山东,583,138,植渔酱:#TaylorSwift[超话]#两张小霉  [组图共2张] 原图 ,无,2021-04-22 11:39 ,TaylorSwift超话,4,0,0,无
Kc3Fe90Yi,Dj喜羊羊_t,女,其他,164,97,Dj喜羊羊_t:#TaylorSwift[超话]# 踢踢我🙏  ,无,2021-04-22 11:12 ,TaylorSwift超话,2,0,4,无
Kc3zmoXLy,演员金智秀,男,其他,579,1603,演员金智秀:#TaylorSwift[超话]# 这集kangxi的资源哪里有呀！  原图 ,无,2021-04-22 10:57 ,TaylorSwift超话,12,0,10,无
Kc3yTpf1b,Lover_823,女,山东,348,199,Lover_823:每日一问妈咪，大姐今天有消息了嘛💙💙@TaylorSwift  ,无,2021-04-22 10:56 ,微博 HTML5 版,1,0,0,无
Kc3wTl5SZ,All-Night-Diner,女,江苏,299,1466,All-Night-Diner:#TaylorSwift[超话]# 附议[作揖] All-Night-Diner的微博视频  ,无,2021-04-22 10:51 ,TaylorSwift超话,14,0,2,无
Kc3wsqyGl,CharmingLayla,女,河北,188,217,CharmingLayla:#TaylorSwift[超话]#最近单曲循环no body，no crime怎么这么好听哈哈哈哈  ,无,2021-04-22 10:50 ,TaylorSwift超话,7,0,2,无
Kc3tf1wtC,Y_Rrss,女,其他,134,41,Y_Rrss:#TaylorSwift[超话]#死在前奏里 Y_Rrss的微博视频  ,无,2021-04-22 10:42 ,TaylorSwift超话,5,0,4,无
Kc3qmvyL6,大J娃子,女,河南,636,2854,大J娃子:#TaylorSwift[超话]#  死亡二选一  ,无,2021-04-22 10:35 ,TaylorSwift超话,298,1,12,无
Kc3fLhSIh,qmx巴扎黑,男,其他,407,554,qmx巴扎黑:抱歉 我晚了我这几天定要单曲循环 一百遍#TaylorSwift[超话]#  原图 ,无,2021-04-22 10:09 ,iPhone客户端,0,0,0,无
Kc32M7eqI,TaylorSwift,女,海外,9,9970470,TaylorSwift:WELL WELL WELL you all really went out and left my greatest expectations in shambles this week. 😆 Word on the street is you made Fearless (my version) the biggest country album first week of the last 6 years and the top release of 2021 so far. Honestly??? How?? Did I get this lucky???? I wanted to say thank you to you so today I will be addressing a very pressing issue. 🐈🐈⬛❓ http://t.cn/A6c0UVtN ,无,2021-04-22 09:37 ,微博视频号,12872,1228,1085,无
