微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
KbB1x8Dsh,厚巴小麻瓜的P0,女,广东,398,100,厚巴小麻瓜的P0:#XYG电子竞技俱乐部[超话]#原来在最后一局时是九•终于单杀回来了•月被传回去了哈哈哈哈哈哈哈 我刚开始还说为啥九月在路上  原图 ,无,2021-04-18 10:40,XYG电子竞技俱乐部超话,3,0,0,无
KbB0ZuDii,TuTu咩_,男,海外,249,184,TuTu咩_:#XYG电子竞技俱乐部[超话]# 看着xyg成长真的是件好激动的事情啊..想和弟弟们一起成长，成为更好更强的自己..弟弟们加油啊～一定会找机会去一次现场的  ,无,2021-04-18 10:38,XYG电子竞技俱乐部超话,3,0,2,无
KbB0TB5RE,Taketo_,女,广东,217,186,Taketo_:#XYG电子竞技俱乐部[超话]# 啊啊啊啊啊我想在看比赛前涨到九级 领应援物 求踢踢 另外再问一下 抽奖怎么搞啊  原图 ,无,2021-04-18 10:38,XYG电子竞技俱乐部超话,1,0,0,无
KbB0F7sN0,北筱攸,女,海外,530,88,北筱攸:#XYG电子竞技俱乐部[超话]#个人认为这赛季守约(射手位)据说在k pl胜率也是可以的；接下来是新赛季法师是不能少的一环，所以让豆子守约适应赛场很有想法。看居居的微博，教练让豆子用肯定结合多方考虑，教练要让豆子守约站起来。豆子守约训练赛100%胜率[心]，说明平时练的不少，能拿得出手。(想想之前2v2，这一局守约挺准的，比阿梦是些微差点)养成系战队的浪漫(哎！之前不擅长，咱们现在很拿手，哎就是这么牛)就像咱们的阿古朵，露娜元歌也是秀起来了，咱们面对之前束手无策的大乔体系也是把他干翻了，还有天命局，之前都是赢不了，但这两天的天命局澜都给他克制的稳稳的。(我真的是想超级大声夸弟弟们把天命局这个坎给跨过去了)牛批！我相信下一次见面拿出守约又是另一种场面。我是赞同在官博超话有分析贴、鼓励贴，但不赞同蒙头质问一句“为什么这样选?”“你们饭圈”“你们无脑爱护”选阵容教练自然是多方面考量过，不需要回答你的疑问。发在超话的帖子肯定有赞同观点也有不赞同的，有人反驳别说是什么饭圈，不想别人反驳你可以发到自己微博我相信没人去你微博理你。理性分析都能够理解，但不要阴阳怪气，不然锤你。咱们是上山的人，在成长中的队伍，可不是你心中无敌的战神，每一次比赛都是经验的积累。比赛场上瞬息万变，咱们看的是上帝视角，比赛的是弟弟们，所以请相信弟弟们在一步一步成长着。每一局比赛XYG都在认真对待，别说什么练英雄，场下练了千百遍也是要到场上来检验的，请不要一句话否定教练队员的努力，比赛不能死水微澜要活水长流。精神股东们也要伴随弟弟们一同成长，大心脏，最坚实的后盾！期待这周末XYG比赛，大局已定！愈战愈勇，弟弟们加油！(抽个6.88红包4.20晚上八点开) [组图共3张] 原图 ,无,2021-04-18 10:38,XYG电子竞技俱乐部超话,5,0,7,无
KbB0ewJbp,苧刓yu,女,甘肃,145,37,苧刓yu:#XYG电子竞技俱乐部[超话]#芜湖  ,无,2021-04-18 10:37,XYG电子竞技俱乐部超话,0,0,0,无
KbAZWwl3H,AI恰了口猪包,男,海外,190,262,AI恰了口猪包:好像找不到那个抽奖选项在哪了，有老婆知道评论告诉我一下？搞不懂就用随机数字抽楼层。图二来自@恰个夜宵吗z 超话里乱七八糟的小作文一堆，那就抽3个仙友6.88，评论就行，要求：不能无脑黑弟弟，理智对待批评，也不要无脑护，不抽水产，解释权在我。蚊子虽小也是肉。#XYG电子竞技俱乐部[超话]#  [组图共3张] 原图 ,无,2021-04-18 10:36,XYG电子竞技俱乐部超话,1,0,0,无
KbAUxnNdy,满足最好的光点xz,女,山东,63,12,满足最好的光点xz:#XYG电子竞技俱乐部[超话]#这场比赛看得我心惊肉跳，心情就像过山车，尤其最后一场，还好还好，我们赢了。  ,无,2021-04-18 10:22,XYG电子竞技俱乐部超话,1,0,0,无
KbAU5B7LK,尚付-,女,宁夏,257,57,尚付-:#XYG电子竞技俱乐部[超话]#就有那么一丝丝的迷惑，真的就应了猪哼老师的那句话赢了夸选手输了怪bp？没有必要，我相信每一个教练，即使他要玩花活，也肯定是在训练赛打出了效果的花活。外行看热闹内行看门道，赢了吹吹各位选手的操作，输了鼓励鼓励不就好了嘛~  ,无,2021-04-18 10:21,XYG电子竞技俱乐部超话,5,0,0,无
KbAT2BJ3C,XYG狍狍,女,浙江,31,67,XYG狍狍:#XYG电子竞技俱乐部[超话]#九月：我不拿镜你当我是娜可露露啊！[怒骂]（超凶！.jpg）我摊牌了其实我昨天也毒奶了一波我反思  [组图共2张] 原图 ,无,2021-04-18 10:19,XYG电子竞技俱乐部超话,5,0,0,无
KbAROlqIp,Diana_惊鸿,女,北京,295,250,Diana_惊鸿:#XYG电子竞技俱乐部[超话]# 怎么都在讨论守约，我想夸豆子的虞姬啊！最后一局几次疯狂秀操作！我以为MVP会是他的。和我朋友一起看的，他是老虞姬，一直说，看，这就是虞姬！虞姬就应该这么玩！夸夸豆子，每次输大场，下一次见面就会成长好多。能稳能秀！还记得昨天和后羿对A秒换复活甲！（为啥每次输都集火豆子，是他人气高？还是射手就容易挨批呢）顺便夸夸其他人，定海神针阿梦，神来之笔酷偕（廉颇开团真猛啊），不服气的九月月（说好的镜没意思呢），羲和大乔指挥也越来越好啦。都夸都夸，我就是亲妈粉[打call] ,无,2021-04-18 10:16,XYG电子竞技俱乐部超话,10,0,4,无
