微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
KbLHemkDd,扎克·施奈德电影报道,男,江苏,72,15346,扎克·施奈德电影报道:克里斯·特里奥表示，《扎克·施奈德版正义联盟》里的闪电侠有多动症。#ZackSnydersJusticeLeague##ZackSnyder##ZackSnyder[超话]#  [组图共2张] 原图 ,无,2021-04-20 13:27 ,ZackSnyder超话,104,4,13,无
KbBVsbl6T,扎克·施奈德电影报道,男,江苏,72,15346,扎克·施奈德电影报道:《蝙蝠侠大战超人：正义黎明》最初设定在冬天❄️❄️ #蝙蝠侠大战超人:正义黎明##ZackSnyder##ZackSnyder[超话]#  [组图共6张] 原图 ,无,2021-04-19 12:35,ZackSnyder超话,296,45,35,无
KbBaWdof1,扎克·施奈德电影报道,男,江苏,72,15346,"扎克·施奈德电影报道:【扎克·施奈德、克里斯·特里奥与华纳兄弟影业关于BVS片名的争论】“我记得我和制片公司反复讨论，《蝙蝠侠大战超人：正义黎明》似乎是华纳兄弟影业唯一喜欢的片名。”施奈德在正义展会上说，“用‘v’代替‘versus’的讨论，就像一场疯狂的谈判……我说，‘伙计们，我们就不能取名《太阳之子和夜之骑士》（Son of Sun and Knight of Night）吗，或者更诗意一点的片名？’他们说，‘绝对不行。’我说，‘这是一场官司吗？’”该制片公司注册的在线域名包括""Man of Steel: Battle the Knight"" 、""Man of Steel: Black of Knight""和""Man of Steel: Knight Falls""。克里斯·特里奥：“我更喜欢一些非常简单的片名，比如《蝙蝠侠和超人》（Batman and Superman）。或者延续《超人：钢铁之躯》的脉络，感觉更像是《超人：钢铁之躯》的续集。有一段时间，我们讨论过把它命名为《正义联盟：（副标题）》，暗示这部电影将成为《正义联盟》的开始，尽管它看起来并不像这样。比如《正义联盟：根基》（Justice League: Foundations）或者《正义联盟：崛起》（Justice League: Rising）。”“人们总是问我关于BVS的事情，我总是说，‘听着，事实是，在某种程度上，我们可以说是从制片公司那里偷了那部电影。’这并不是制片公司100%想要制作的电影。”施奈德说，“如果你观察这种解构、建构、再解构、再建构的弧线，那就是我们的节奏。当然，BVS是一部解构电影，而《正义联盟》则是一部建构电影。”施奈德补充道：“所以对我来说，回想起来，我同意克里斯的观点，我希望我们能更努力地与他们战斗。但我觉得我是偷偷制作BVS的，我觉得当他们说，‘可以，但我们只想叫它《蝙蝠侠大战超人》。’我说，‘我们正在讨论制作的那部电影？哦，好吧，既然那样，也可以。’只要不是‘片名和电影我们都不喜欢’就行。”#蝙蝠侠大战超人:正义黎明##ZackSnyder##ZackSnyder[超话]# [组图共6张] 原图 ",无,2021-04-19 10:40,ZackSnyder超话,614,185,58,无
Kbl6k9sFs,AssCrackBandit_V,男,其他,5553,424,AssCrackBandit_V:#ZackSnyder[超话]##蝙蝠侠大战超人#  原图 ,无,2021-04-17 17:45,iPhone 12,4,0,0,无
KbkEiofvK,明月何时照哥谭,男,广东,656,2616,明月何时照哥谭:FaceApp+醒图推半天，这个supergirl可还行？#ZackSnydersJusticeLeague# #dc电影# #ZackSnyder[超话]# #超人钢铁之躯#  原图 ,无,2021-04-17 16:36,搜狗高速浏览器,2,0,0,无
KbiXzxmRY,扎克·施奈德电影报道,男,江苏,72,15346,扎克·施奈德电影报道:《活死人军团》新剧照🧟♀️🧟♂️🧟#活死人军团##ArmyoftheDead##亡者之师##ZackSnyder[超话]#  [组图共6张] 原图 ,无,2021-04-17 12:18,ZackSnyder超话,68,6,10,无
KbikKa0zD,Joey_Young杨昭,男,北京,184,100,Joey_Young杨昭:#ZackSnyder[超话]# For ZSJL！  原图 ,无,2021-04-17 10:42,ZackSnyder超话,6,1,4,无
Kb9GtCi9n,AssCrackBandit_V,男,其他,5553,424,AssCrackBandit_V:笑死，成人商品#ZackSnyder[超话]# AssCrackBandit_V的微博视频  ,无,2021-04-16 12:41,微博视频号,0,0,0,无
Kb8LzeDB9,葬月剑士邪龍JaakuDragon,男,湖南,175,1775,葬月剑士邪龍JaakuDragon:#ZackSnyder[超话]#坐等，预计527发行（？）。到时候可以的话买几张，低价或直接送给一些群友。   [组图共2张] 原图 ,无,2021-04-16 10:21,ZackSnyder超话,3,1,1,无
Kb8J5c2pD,AssCrackBandit_V,男,其他,5553,424,AssCrackBandit_V:#ZackSnyder[超话]# 日版导剪4K&BD已经上架了，6.25发货[嘻嘻]  [组图共6张] 原图 ,无,2021-04-16 10:15,ZackSnyder超话,3,0,0,无
Kb4Psp0WV,第六等星,男,广西,982,294,第六等星:#ZackSnyder[超话]#B站、优酷、爱奇艺等都即将上线《扎克施耐德版正义联盟》，根据优酷的显示来看上线时间是5月3号～还好B站没让我白开大会员。终于就要可以名正言顺的看导剪了！！！  [组图共4张] 原图 ,无,2021-04-16 00:19,ZackSnyder超话,7,0,0,无
Kb1ufhuMr,RestoreTheSnyderVerse,男,其他,80,117,RestoreTheSnyderVerse:太懂了吧😅破站第一扎斯林又一个小号👏😅#RestoreTheSnyderVerse##ZackSnyder[超话]##zacksnyder#  原图 ,无,2021-04-15 15:49,微博国际版,3,0,1,无
