微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
Kbh7DbByK,IT小石匠老常,男,北京,185,1322,IT小石匠老常:哈，又瞧见方励了，1986年认识老方，那时候，毕业于江汉油田学院的老方，还是EG&G Geomatrics 公司总裁大胡子道格拉斯的翻译，我们混在一起，是为了验收他们生产的、地矿部给我野外队购买的、用于寻找煤田的、24道、最高到1/4毫秒采样的数字地震仪ES2420。我年轻时候的科研项目与成果，都与这台地学仪器和另一台Unix系统有关。 http://t.cn/A6cS2qhs ,无,2021-04-17 07:37 ,微博视频号,0,0,0,无
KbbXvB2sd,喜马拉雅豆芽,男,北京,6007,2735,喜马拉雅豆芽:闪耀在 UNIX 传奇往事中的启示， UNXI 见证者带你一览究竟：书籍《UNIX传奇：历史与回忆》。这本书用传奇人物的故事串联一系列重要发明的起源与发展，用管理创新故事解读了贝尔实验室科技创新的背后力量，带领我们探寻了9项诺贝尔奖和4项图灵奖的传奇起源。闪耀在 UNIX 传奇往事中的启示， UNXI 见证者带你一览究竟  ,无,2021-04-16 18:28,iPhone客户端,0,0,0,无
KbbX97A9c,喜马拉雅豆芽,男,北京,6007,2735,喜马拉雅豆芽:闪耀在 UNIX 传奇往事中的启示， UNXI 见证者带你一览究竟：对于努力发展前沿科技的我们来说，贝尔实验室中明确的管理层级，稳定自由的科研环境，自上而下的评级，便利的工作环境，支持图书写作，技术管理、和而不争，有远见的持续投资等制度是极为宝贵的启示。闪耀在 UNIX 传奇往事中的启示， UNXI 见证者带你一览究竟  ,无,2021-04-16 18:28,iPhone客户端,0,0,0,无
KbbVuy8iz,喜马拉雅豆芽,男,北京,6007,2735,喜马拉雅豆芽:闪耀在 UNIX 传奇往事中的启示， UNXI 见证者带你一览究竟：UNIX是现代操作系统的鼻祖。从UNIX到FreeBSD，再到OS X，最后到iOS应运而生。由于UNIX的版权纠纷和Minix的封闭，Linux诞生了，而后又产生了Android。闪耀在 UNIX 传奇往事中的启示， UNXI 见证者带你一览究竟  ,无,2021-04-16 18:23,iPhone客户端,0,0,0,无
KbblVm7Np,CSDN,男,北京,370,330949,CSDN:自1969 年在贝尔实验室的阁楼上诞生以来，UNIX操作系统的发展远远超出了人们的想象，它带动了许多创新软件的开发，改变了整个计算机技术的发展轨迹，4月20日晚8点，CSDN创始人&董事长蒋涛，飞漫软件总经理、HybridOS操作系统创始人魏永明 ，CSDN副总裁、前微软研发总监邹欣，《UNIX传奇》译者、IT产品与运营专家韩磊，将围绕贝尔实验室、UNIX传奇往事的启示等问题探讨，预约直播更有签名图书赠送，《悦读时间》，静下心来，边读边聊http://t.cn/A6catRCe 原图 ,无,2021-04-16 16:56,微博 weibo.com,7,1,0,无
KbaoeBsna,长宁卢本伟,男,上海,84,144,长宁卢本伟:自从不怎么打游戏每天晚上回去刷题看代码看pdf，已经觉得台式机很浪费了显卡闲置着挖矿挖了一个月以后打游戏也有ps，台式有个啥用琢磨了一波录音剪视频都直接🍎家一套最方便用着破解版的pr、au还不如整一套logic、final cut。真搞代码win上wsl苟着也不如mac的原生unix。m1的mac真的香啊，arm牛逼。想换啥时候macbook pro m1出了我就把台式卖了想起大学时候还是坚定的果黑我不愧是长宁王境泽 原图 ,无,2021-04-16 14:29,微博国际版,5,0,5,无
Kb8sKkIDN,CSDN,男,北京,370,330949,CSDN:【“诺奖摇篮”贝尔实验室：从辉煌到衰败的百年沉浮】http://t.cn/A6cX1FWn 贝尔实验室，想必大家并不陌生，一个曾多次改变人类命运的地方，也是 20 世纪最伟大的实验室之一，许多沿用至今的发明如晶体管、太阳能电池、通信卫星、C 语言、UNIX 操作系统等均诞生于此。可就是这样一个曾经走上过神坛的实验室，在 21 世纪却鲜少听过它的美名，至多就是“从贝尔实验室出来的 XXX 获得 XXX 奖、取得 XXX 成就”，但把目光移至贝尔实验室本身，却再无昔日的荣光。 #csdn博文精选# 原图 ,无,2021-04-16 09:34,微博 weibo.com,3,4,0,无
Kb4ejiY5K,眼镜胶布,女,河南,321,325,眼镜胶布:我服辣。。。使用终端一直是装x必备是吧，之前就在哪听过，用终端比较快的说法。我不甚在意。今天学到scheduling，原来在unix系统里，terminal内的io属于kernel level的（也就是os操作系统的），kernel内部也属于high priority的进程。在os面前，application永远是个弟弟，只能在用户进程里争个高低。如果点击图标执行，算作用户程序。所以终端快的原因只是因为这样，而且它永远更快。（夹英文非我本意）因为现在在学操作系统，软件都是分两类的，一种是kernel level（os操作系统），一种是user level（用户应用）。操作系统永远拥有最高管理权，这个是前提。 ,无,2021-04-15 22:48,iPhone客户端,0,0,0,无
KaZaj8eUo,一眼的诱惑,男,河南,525,2049,一眼的诱惑:c语言、unix操作系统的诞生最初是因为玩游戏而诞生的，但是后面好多人好多书却故意忽略掉、自动屏蔽掉，然后用其他理由替换。就像linus的《just for fun》阐明linux系统诞生的原因一样，我觉得游戏、娱乐是人的本性也是各种事物诞生的要素之一，不能忽略。【火星人玩机】Unix、Linux系统的出现都是纯属偶然，纯属创造他们的人因为个人的兴趣爱好而做出来的。 Unix对比Linux：差距无法接受 http://t.cn/A6c6K5qG 原图 ,无,2021-04-15 09:54,UC浏览器Android,0,0,0,无
KaKFQ9s2T,网路冷眼,男,北京,3969,938013,网路冷眼:【Command Line Fu - The best UNIX commands on the Web】http://t.cn/AimDuKqo Command Line Fu - Web上最好的UNIX命令 。  原图 ,无,2021-04-13 21:01,皮皮时光机,13,24,2,无
