微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
KbOqYC0Lp,清芷小阔爱,女,其他,205,78,清芷小阔爱:#张雨绮丁程鑫加入快乐大本营#当时他的很多粉丝不都说他因为高考不参加吗？  ,无,2021-04-20 20:27,荣耀8X,0,0,0,无
KbOqS8bpP,XiaMi-程,女,重庆,590,94,XiaMi-程:#丁程鑫[超话]#▪#丁程鑫快乐大本营#  今日份快本直播可可爱爱的丁哥自截/12p[抱一抱]@时代少年团-丁程鑫  [组图共12张] 原图 ,无,2021-04-20 20:27,丁程鑫超话,1,0,0,无
KbOqR1Ked,温风沐麦圆ll,女,黑龙江,675,148,温风沐麦圆ll:#张雨绮丁程鑫加入快乐大本营#没什么可看的时候就看快本，不要会员还不用盯着看细节，当客厅背景音超级舒服张，，，算了，这三个月我不看了  原图 ,无,2021-04-20 20:27,HUAWEI nova 2s,0,0,0,无
KbOqIDuAo,不想再用改名卡,女,北京,235,2972,不想再用改名卡:#张雨绮丁程鑫加入快乐大本营#芒果霸霸，真好哇，真好哇秘密花园也开啦丁儿会认识很多很多厉害的人期待子#丁程鑫快乐大本营# @时代少年团-丁程鑫  原图 ,无,2021-04-20 20:26,无,1,0,3,无
KbOqG3xc1,夏日樱缘,女,北京,169,10210,夏日樱缘:#张雨绮丁程鑫加入快乐大本营#丁哥！好快乐 以后有看快本的源泉了  ,无,2021-04-20 20:26,HUAWEI nova 3i,1,0,0,无
KbOqBlWh8,浪漫玫瑰悸,女,海外,154,693,浪漫玫瑰悸:我现在的感觉就是 丁程鑫和这个团这个公司好像没什么关系了 就这样挺好的 除了团婊之外大家都开心呀  ,无,2021-04-20 20:26,无,0,0,0,无
KbOqutFPD,攸犬uu_,女,辽宁,618,2687,攸犬uu_:#张雨绮丁程鑫加入快乐大本营#期待就完事啦 限定快乐～  ,无,2021-04-20 20:26,年王老婆的Android,0,0,0,无
KbOqtBwKN,沦陷于k蔡先生,女,其他,1153,3139,沦陷于k蔡先生:#张雨绮丁程鑫加入快乐大本营#期待丁程鑫@时代少年团-丁程鑫  ,无,2021-04-20 20:26,三星 GALAXY Note8,0,0,0,无
KbOqqlwiQ,朽木乜,男,其他,153,1093,朽木乜:爬墙￼外网 instagram 油管 推特看平区教程可以愉快下载的教程 ins特效🤩啦不乱于Vp心，不困于情不畏将来，不念过往，如此嗯，安好恩UNINE 金泰亨 李振宁 边伯贤exo 贾斯汀比伯 防弹少年团 易烊千玺 时代少年团 易烊千玺马嘉祺、丁程鑫、宋亚轩、刘耀文、Lisa、金泫雅、姜丹尼尔 ins  ,无,2021-04-20 20:25,微博 HTML5 版,1,0,1,无
KbOqmhL5y,莫小爪清潼,女,海南,174,182,莫小爪清潼:#何炅[超话]#快乐大本营入伙饭快乐限定团 张雨绮 丁程鑫小何cut画面 莫小爪清潼的微博视频  ,无,2021-04-20 20:25,何炅超话,1,0,0,无
KbOqhtyTt,麦兜兜的小汤,女,广西,125,32,麦兜兜的小汤:#张雨绮丁程鑫加入快乐大本营#快乐限定，小丁加油！  ,无,2021-04-20 20:25,荣耀 9X,1,0,0,无
KbOqa5ovB,漫游山城札记,女,重庆,292,64,漫游山城札记:我为#丁程鑫[超话]#贡献66影响力，超话目前在明星超话No.30！还差1.6万影响力超越上一名！戳这里→http://t.cn/Rr9cFzM 跟我一起助TA荣登超话封面吧~  ,无,2021-04-20 20:25,超话,0,0,0,无
