微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
KbB3h5t4v,诺诺乖儿,男,北京,131,228,诺诺乖儿:#刘雨昕[超话]#将街舞精神和民族文化、传统文化糅合在一起是刘雨昕从小的目标，海纳百川有容乃大，刘雨昕向我们证明popping与国风的组合虽然新奇却意外适配。每一位舞者都为街舞的传承付出了很多，期待未来刘雨昕能带来更多有思考的作品，让街舞被更多人了解，喜爱。以舞服人，作品发声。战胜自己，王者昕生。@THE9-刘雨昕cypher http://t.cn/A6bY0729 ,无,2021-04-18 10:44,刘雨昕超话,0,0,0,无
KbB2NeJv8,鹅鹅鹅曲项向刘雨昕,男,其他,597,179,鹅鹅鹅曲项向刘雨昕:#唐汉霄 刘雨昕经过时我会害羞# 刘雨昕妥妥的吸星体质  原图 ,无,2021-04-18 10:43,iPhone XR,2,0,0,无
KbB2MzMLV,槿梨123,女,其他,86,17,槿梨123:#最好的刘雨昕[超话]# 0419求积分，指路回  原图 ,无,2021-04-18 10:43,最好的刘雨昕超话,1,0,2,无
KbB2Kz0g5,好丽友派的时光,男,山西,196,2,好丽友派的时光:#唐汉霄 刘雨昕经过时我会害羞#  喜欢唐汉霄的演技，也喜欢刘雨昕的舞台魅力，这样的联动真是太让人开心了，期待你们更多的精彩。  ,无,2021-04-18 10:43,iPhone客户端,0,0,0,无
KbB2HiZjQ,神奇熏熏在哪里,男,其他,121,11,神奇熏熏在哪里:#刘雨昕[超话]# [微风]#刘雨昕0420生日快乐#🎂 #刘雨昕正能量偶像#刘雨昕冲鸭 | @THE9-刘雨昕 啊啊投屏成功了，十天前就投了，终于放上去了，白天拍还有点反光，还有另一个柜子等会再去拍  原图 ,无,2021-04-18 10:43,刘雨昕超话,0,0,0,无
KbB3m1mDT,赵肉又,女,辽宁,561,119,赵肉又:#最好的刘雨昕[超话]#419球积分贴不吞指路必回舞台上，她勇敢挑战，魅力释放，是潜力无限的全能ACE。生活中，她突破定义，超越自我，不断书写坚定榜样力量。她是@THE9-刘雨昕  ,无,2021-04-18 10:44,最好的刘雨昕超话,0,0,0,无
KbB3l87RV,嘻嘻大魔王1,男,其他,59,29,嘻嘻大魔王1:#唐汉霄 刘雨昕经过时我会害羞#看到唐汉霄表示很欣赏刘雨昕！感觉他们像旺仔牛奶一样甜呢！！不得不说像刘雨昕这么有魅力优秀的人谁都会喜欢吧！  ,无,2021-04-18 10:44,iPhone客户端,1,0,0,无
KbB3jDgde,圈内偶像,男,北京,923,11397081,圈内偶像:刘雨昕最新广告大片近点、再近点，怼脸拍是会让摄影师都害羞的程度，即刻心动💙 @THE9-刘雨昕 圈内偶像的微博视频  ,无,2021-04-18 10:44,刘雨昕超话,2,0,0,无
KbB3ibVvU,是小Jerry吖吖,女,四川,1353,653,是小Jerry吖吖:---🔥🔥🔥0419自评，不用回复🔥🔥🔥---刘雨昕唱跳俱佳💙刘雨昕绝世美颜💙刘雨昕正能量偶像💙刘雨昕热心公益💙刘雨昕温柔💙刘雨昕善良💙刘雨昕有礼貌💙刘雨昕漂亮💙刘雨昕唱歌好听刘雨昕@THE9-刘雨昕 1  ,无,2021-04-18 10:44,小爱昕um的家园超话,0,1,4,无
KbB3h5t4v,诺诺乖儿,男,北京,131,228,诺诺乖儿:#刘雨昕[超话]#将街舞精神和民族文化、传统文化糅合在一起是刘雨昕从小的目标，海纳百川有容乃大，刘雨昕向我们证明popping与国风的组合虽然新奇却意外适配。每一位舞者都为街舞的传承付出了很多，期待未来刘雨昕能带来更多有思考的作品，让街舞被更多人了解，喜爱。以舞服人，作品发声。战胜自己，王者昕生。@THE9-刘雨昕cypher http://t.cn/A6bY0729 ,无,2021-04-18 10:44,刘雨昕超话,0,0,0,无
