微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
KbP1v42ao,Afuyu_贝克街,女,陕西,462,1534,Afuyu_贝克街:#名侦探柯南[超话]##松田阵平# 都是他都是他！！导致我现在看高木和佐藤都意难平本来可以叫松田美和子的  [组图共2张] 原图 ,无,2021-04-20 21:55,名侦探柯南超话,0,0,0,无
KbP1aDkPT,二次元漫漫君,女,北京,59,118737,二次元漫漫君:#名侦探柯南#小兰和柯南的爱情，永远是双向奔赴的！ 二次元漫漫君的微博视频  ,无,2021-04-20 21:54,微博视频号,0,0,0,无
KbP13yXx1,不是火星也不是水星,女,安徽,143,7,不是火星也不是水星:http://t.cn/A6cq8fvZ 我的评分：#名侦探柯南:绯色的子弹#没有想象中的那么难看，整体故事性感觉还好，关键的高潮部分确实是会让人快速打出一串？？？？？？这种程度的迷惑……在小兰喊出柯南的名字柯南也大喊小兰的一瞬间还是很感人的，一瞬间有点泪目……灰原哀显得更奇怪了 ,无,2021-04-20 21:53,微评,0,0,0,无
KbP0U6Idh,第五音_,女,其他,67,256,第五音_:#音#【Animenz】名侦探柯南：绯色的弹丸 - 永远的不在场证明 钢琴#哔哩哔哩动画# 【Animenz】名侦探柯南：绯色的弹丸 - 永远的不在场证明 钢琴  ,无,2021-04-20 21:53,哔哩哔哩,0,0,0,无
KbP04Fwdx,浅唱斟酌,女,陕西,64,76,浅唱斟酌:#名侦探柯南:绯色的子弹##柯南# diss剧场版是新兰番还是柯哀番的真的没法理解，这次明明是赤井家独秀，非要追cp的话，秀吉和由美不香吗对了，比较兰和哀戏份的真的不是在搞笑吗？这和主线cp基本没啥关系啊，这俩人在这期剧场版基本工具人呀，这还得比比???这次名场面应包括:赤井秀一被亲妈和亲妹合作爆锤，被亲妈言语威胁江户川柯南渣男如何养成绯色的子弹结束ps:超导磁悬浮列车能在理论上成为现实吗?推理其实比较一般，但情节相对来说比较丰满，根本不像yxh说的那样 ,无,2021-04-20 21:52,vivo X50专业影像旗舰,0,0,0,无
KbOZNymGw,仙气撩人-m,女,安徽,123,50,仙气撩人-m:赤井秀一#名侦探柯南:绯色的子弹#  原图 ,无,2021-04-20 21:51,Samsung Galaxy S8+,0,0,0,无
KbOYSunlB,据说是豆馅包子_欧根光辉橙海呆,女,海外,2791,612,据说是豆馅包子_欧根光辉橙海呆:#名侦探柯南:绯色的子弹# 这部是挺难看的，各种强行削弱和降智，各种工具人和emmm很难给出评价的剧情，以及党争名场面；不过别带脑子，看赤井一家妈妈打儿子大哥揍三妹二哥小天使，这一家子我知道我就是不说我猜到我偏要藏着，一家天赋异禀真的好帅。至于MVP嘛当然是足球，柯南踢足球是情怀之巅。  ,无,2021-04-20 21:49,iPhone客户端,0,0,0,无
KbOYvtHti,此少女是濒危物种,女,山东,400,1198,此少女是濒危物种:听说女生看柯南都是冲着帅哥去的💕#名侦探柯南:绯色的子弹##名侦探柯南##赤井秀一# 济南·CC PARK艺术主题购物中心  显示地图 [组图共2张] 原图 ,#赤井秀一#,2021-04-20 21:48,iPhone客户端,0,0,0,无
KbOYaa0D9,梨诺星冰乐,女,上海,99,38,梨诺星冰乐:我现在真的满脑子名侦探柯南  ,无,2021-04-20 21:47,HUAWEI P30,0,0,0,无
KbOY3m87Z,Amoda_阿毛,女,广东,928,753,Amoda_阿毛:#名侦探柯南:绯色的子弹# 包场的快乐哈哈开头就猜到凶手系列老套的复仇梗，高潮在后面20分钟  [组图共4张] 原图 ,无,2021-04-20 21:47,iPhone客户端,0,0,0,无
KbOXZf4C9,-Alchemist-,女,其他,810,160,-Alchemist-:剧场版真是个迷「好烂…但下一部还会看」这句话已经说了很多年了还是被片尾曲惊艳到！椎名林檎 我永远挚爱✌🏻️✌🏻️btw好想吃鳗鱼饭#名侦探柯南:绯色的子弹#  原图 ,无,2021-04-20 21:47,iPhone客户端,0,0,0,无
KbOXB1mBK,一介_俗人_,男,其他,171,147,一介_俗人_:#贝克街的亡灵##名侦探柯南：绯色的子弹[电影]# 剧场版看过很多，最喜欢的还是贝克街的亡灵[羞嗒嗒]磕新兰  [组图共2张] 原图 ,无,2021-04-20 21:46,iPhone客户端,0,0,1,无
KbOXufHgo,末日丁香clove,女,山东,110,31,末日丁香clove:打卡2021柯南剧场版很多人说不好看但我还是看的热血澎湃津津有味，有赤井秀一的剧场版就是很好看！#柯南##名侦探柯南：绯色的子弹[电影]#  [组图共3张] 原图 ,无,2021-04-20 21:45,vivo X23 AI非凡摄影,2,0,2,无
KbOXjz4eQ,云中谁寄锦书来_坤坤,女,河北,147,27,云中谁寄锦书来_坤坤:我的月亮永悬不落#名侦探柯南#  原图 ,无,2021-04-20 21:45,iPhone客户端,0,0,0,无
KbOWRtHui,史迪泰仔,男,海外,297,718,史迪泰仔:首页有看了名侦探柯南绯色的子弹的宝汁嘛 好看不  ,无,2021-04-20 21:44,iPhone客户端,0,0,4,无
KbOWFnVfF,obliviu,男,湖北,38,655,obliviu:今天和念念🙆🏻看电影🎬了#名侦探柯南:绯色的子弹# 荆门·荆楚理工学院  显示地图 [组图共3张] 原图 ,无,2021-04-20 21:43,iPhone XR,0,0,1,无
KbOWDAm6o,绿绿绿_绿萝,女,湖南,430,1469,绿绿绿_绿萝:#名侦探柯南:绯色的子弹# 我去二刷了，这次看的国语配音版，赤井秀一的国语配音声线超级棒！喊柯南小子的时候又苏又温柔。  ,无,2021-04-20 21:43,iPhone客户端,0,0,0,无
微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
KbP4O505h,橙心社,女,上海,485,140795,橙心社:#柯南# #剧场版# #名侦探柯南:绯色的子弹# 《绯色的子弹》爆了！三天票房22亿 目标破百亿！ 橙心社的微博视频  ,无,2021-04-20 22:03,微博视频号,0,0,1,无
KbP3CcyBi,尹口小月,女,广东,441,7932,尹口小月:哥斯拉大战金刚🦍名侦探柯南：绯色的子弹🚄这两部电影开场半小时剧情都没看到，可惜  [组图共2张] 原图 ,无,2021-04-20 22:00,iPhone客户端,0,0,0,无
KbP3q6Ngq,L1zhenMeN_,男,辽宁,147,1111,L1zhenMeN_:#名侦探柯南绯色的弹丸#真相永远只有一个！ L1zhenMeN_的微博视频  ,无,2021-04-20 22:00,iPhone 11,0,0,0,无
KbP3d8TeM,YHLFirework,女,广东,208,136,YHLFirework:#名侦探柯南[超话]##绯色的弹丸##赤井秀一# 这个海报绝绝子 大家快去买个相框框起来 真的好看死了 快去买！！！@新一的追番日常 绝了真的 太谢谢你 我这几天的快乐都是因为这个海报周边对了 海报尺寸是30cmx42cm 大家快去某宝买！！！  [组图共6张] 原图 ,无,2021-04-20 21:59,名侦探柯南超话,0,0,0,无
