微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
KbB3n06gr,星闻舆情官,女,上海,738,3338514,星闻舆情官:真的要笑死了，杨丞琳这是在8G冲浪吗？4月18日，刚获得了《浪姐2》中第三名的好成绩成团出道的杨丞琳竟然在一条去年某位博主发的动态下评论，这位博主发的动态写的是“吴青峰，华语流行音乐出道三次第一人”，杨丞琳在底下评论“俺，是第二人”，没想到吴青峰也跟着转发评论了“但我三次出道都会出专辑哦”，哈哈，这无形中又在给杨丞琳当头一棒啊，这对兄妹俩实在是太搞笑了，两人虽然多次出道，但不可否认的是两人都很优秀。 [组图共3张] 原图 ,无,2021-04-18 10:44,微博 weibo.com,0,0,0,无
KbB2889lD,超爱菜菜的,女,海南,283,37,超爱菜菜的:@吳青峰 我在#明星势力榜#港澳台榜上为你加油啦，你是我今生唯一的执著哦。棒棒哒！明星势力榜第22位  海口·世代雅居  显示地图 ,#明星势力榜#,2021-04-18 10:41,iPhone客户端,0,0,0,无
KbAZZFKLH,黑米粥加椰奶,女,广东,649,201,黑米粥加椰奶:吴青峰《如果声音不记得》(《如果声音不记得》电影主题曲) 如果声音不记得 @QQ音乐  原图 ,无,2021-04-18 10:36,QQ音乐,0,0,0,无
KbAVyi0Ck,华夏原创金曲榜,女,北京,1437,300122,华夏原创金曲榜:1260期华夏原创金曲榜：01《离家的人才会想听故事》常石磊 王源 02《就懂了》张信哲 03《山河浮影》吴青峰04《我不需要每一个人都爱我-A rock can be a star》八三夭05《家的方向》王铮亮 王以太06《赤伶》李玉刚 07《千万勇敢》景甜08《沦陷》魏晨09《无畏》GAI周延 10《相信希望（Believe）F.I.R.飞儿乐团11《萱草花》张小斐12《不落的音符》Sunnee杨芸晴13《Lonely》Airliftz14《DoDo Do》林恺伦Karencici15《最完美的距离》陈洁仪 感谢大家的点赞和转发，支持好音乐！ ,无,2021-04-18 10:25,微博 weibo.com,1,1,0,无
KbAVf7SMx,蘇打五顏六色,女,上海,201,198,蘇打五顏六色:先大概翻了翻 吴青峰  [组图共4张] 原图 ,无,2021-04-18 10:24,微博国际版,0,0,0,无
KbAPvjevF,明星八卦播报,女,广东,3375,2579664,明星八卦播报:真的要笑死了，杨丞琳这是在8G冲浪吗？4月18日，刚获得了《浪姐2》中第三名的好成绩成团出道的杨丞琳竟然在一条去年某位博主发的动态下评论，这位博主发的动态写的是“吴青峰，华语流行音乐出道三次第一人”，杨丞琳在底下评论“俺，是第二人”，没想到吴青峰也跟着转发评论了“但我三次出道都会出专辑哦”，哈哈，这无形中又在给杨丞琳当头一棒啊，这对兄妹俩实在是太搞笑了，两人虽然多次出道，但不可否认的是两人都很优秀。 [组图共3张] 原图 ,无,2021-04-18 10:10,iPhone XR,515,2,5,无
KbANCmL3u,每日娱乐前线,女,天津,119,866171,每日娱乐前线:#阿乐时光机# @吳青峰 担任@楊丞琳 演唱会嘉宾，两人现场改编《年轮说》“一份卤肉豆皮，两包咸水鸡，三串炭烤玉米......”以美食为灵感，越听越饿！两位流行音乐出道三次的人，果然默契十足#杨丞琳自认流行音乐出道三次第二人#   新浪娱乐的微博视频  ,无,2021-04-18 10:05,微博云剪,0,0,0,无
KbALi9JKs,是挽风-,女,陕西,414,316,是挽风-:发货啦发货啦#吴青峰 上下册#  原图 ,无,2021-04-18 10:00,太空人小风iPhone 8,0,0,0,无
KbAuWxXN3,陶门八字改运滕翼,女,江苏,33,10926,陶门八字改运滕翼:#杨丞琳自认流行音乐出道三次第二人#有位博主称：“吴青峰，华语流行音乐出道三次第一人”，随后杨丞琳转发评论“俺，是第二人”！笑死了你们一家人冲浪速度都挺快啊，还会用“俺”这个字哈哈哈哈，不过杨丞琳和吴青峰唱歌是真好听  原图 ,无,2021-04-18 08:57 ,iPhone 11,0,0,0,无
KbA7XpEJ2,新浪娱乐,女,北京,3375,42469597,新浪娱乐:#阿乐时光机# @吳青峰 担任@楊丞琳 演唱会嘉宾，两人现场改编《年轮说》“一份卤肉豆皮，两包咸水鸡，三串炭烤玉米......”以美食为灵感，越听越饿！两位流行音乐出道三次的人，果然默契十足#杨丞琳自认流行音乐出道三次第二人# 新浪娱乐的微博视频  ,无,2021-04-18 08:00 ,微博视频号,1512,145,74,无
KbA6fjGrQ,scorpio,男,其他,396,1910,scorpio:世界上怎么会有吴青峰这样可爱的男生今天全靠听他的歌提神了什么时候才能再看LIVE？  ,无,2021-04-18 07:56 ,默认是🍎Android,1,0,0,无
KbA6fjGrQ,scorpio,男,其他,396,1910,scorpio:世界上怎么会有吴青峰这样可爱的男生今天全靠听他的歌提神了什么时候才能再看LIVE？  ,无,2021-04-18 07:56 ,默认是🍎Android,1,0,0,无
KbyUYpWGd,拾行情书,男,陕西,1106,215066,拾行情书:人常犯的一个错，就是花费时间去在乎不怎么在乎你的人。—— 吴青峰  原图 ,无,2021-04-18 04:55 ,皮皮时光机,1,1,0,无
KbxFLsLjZ,爱地人,男,浙江,2438,747532,爱地人:@五毒毒 说吴青峰是华语流行音乐出道三次第一人，#杨丞琳自认流行音乐出道三次第二人#，你们这是将菲姐置于何地？菲姐早在这之前，就已经实现了出道三次的目标：1985年，她以“邓丽君”（王菲）的身份出道。1989年，她以王靖雯的身份出道。1997年，她最后以堂堂正正的王菲身份出道！  ,无,2021-04-18 01:45 ,新版微博 weibo.com,32,1,6,无
Kbx8KhC9H,LamKongX,男,广东,650,190,LamKongX:我困在自己的世界里，你困在你的心里，全都没有交集我困在有你的回忆里，你困在我的爱里，谁也无处可去——🎵 吴青峰 - 困在晚安。 LamKongX的微博视频  ,无,2021-04-18 00:24 ,微博视频号,1,0,1,无
Kbx7u4UJp,情绪失控户,女,重庆,223,72,情绪失控户:吴青峰《太空》太空 @QQ音乐 一次又一次在深夜发疯  ,无,2021-04-18 00:21 ,QQ音乐,0,0,0,无
Kbx295CBi,卫平布莱恩特-,女,海外,818,2945808,卫平布莱恩特-:❤️#杨丞琳自认流行音乐出道三次第二人#         被cue的吴青峰和杨丞琳两人其实除了很会唱以外，也超级鬼马有才。很多人儿都知道《年轮说》是吴青峰写给杨丞琳的歌，但是这个版本可能你没有听过嗷！快快收藏起来，吃货必备！ 卫平布莱恩特-的微博视频  ,无,2021-04-18 00:08 ,微博视频号,236,12,6,无
