微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
KbMOCrwHo,萤火眠眠YB,女,云南,276,228,萤火眠眠YB:#孑风洗陈[超话]#“不麻烦，笔是我偷的，想见哥哥是真的。”互[羞嗒嗒]                                 ——陆惊宴  原图 ,无,2021-04-20 16:18 ,孑风洗陈超话,0,0,12,无
KbKXD7tv2,无欲无求的小玩家,女,北京,346,73,无欲无求的小玩家:#孑风洗陈[超话]#喜欢你我说了算！  [组图共3张] 原图 ,无,2021-04-20 11:35 ,孑风洗陈超话,0,0,14,无
KbKxTsZcP,阿九为什么叫阿九-,女,广东,433,1493,阿九为什么叫阿九-:#孑风洗陈[超话]# 按照顺丰这么慢，我可能周四都发不了书签，如果周四发不了，当我没说过之前的话[胖红生气]  原图 ,无,2021-04-20 10:31 ,孑风洗陈超话,2,0,5,无
KbKhPnUj6,阿九为什么叫阿九-,女,广东,433,1493,阿九为什么叫阿九-:#孑风洗陈[超话]# 吃吐司，涂蓝莓果酱，真的不咋地[泪]  ,无,2021-04-20 09:52 ,孑风洗陈超话,0,0,1,无
KbJT0qk5M,要陪我一起过四季吗,女,陕西,168,273,要陪我一起过四季吗:#孑风洗陈[超话]#就算公交上空无一人司机也会把车开到终点站我的意思是你不要因为任何人的离开而停止原本的生活  ,无,2021-04-20 08:51 ,孑风洗陈超话,0,0,27,无
KbJovixY5,是谁的井颜啊,女,上海,126,1042,是谁的井颜啊:#孑风洗陈[超话]#早上好，吃早饭了吗一个小计划正在努力制作中我真的是太爱晨哥了呀[打call]我才不会告诉你们是因为我忘了其他书里的话  原图 ,无,2021-04-20 07:36 ,孑风洗陈超话,0,0,2,无
KbJcbrF0U,巴黎上空飘落的雨,女,山东,572,1721,巴黎上空飘落的雨:#孑风洗陈[超话]##我的房分你一半# 🎐🎐🎐🎐🎐🎐🎐🎐1、你走了就别回来，老子要去爱别人了。2、老子真的要去爱别人了，你别后悔。3、我后悔了。4、陈兮，你欠我一个未来。5、你到底在哪儿。6、我恨你。7、讲个笑话，我听见你喊我了。8、我把心落在你那儿了，你不能不要我。9、你得要我。10、又梦到你了。11、我想见你。12、村上春树说，如果一直想见谁，迟早肯定见得到。13、最喜欢的一句话是好久不见，想说给你听。14、陈兮，新年快乐。15、想唱首歌给你听，歌名叫《其实》。16、陈兮，生日快乐。17、我终于能去找她了。 http://t.cn/A6cCb3N2 ,无,2021-04-20 07:05 ,孑风洗陈超话,8,2,26,无
KbJ7osnjl,苏小婧鸭_,女,山东,119,94,苏小婧鸭_:#孑风洗陈[超话]#“双箭头的喜欢 是宇宙级别的浪漫”  ,无,2021-04-20 06:53 ,孑风洗陈超话,0,0,10,无
KbJ6jEiJn,小姑娘犯规啊,女,北京,292,300,小姑娘犯规啊:#孑风洗陈[超话]# 🤔原来还差一条啊  ,无,2021-04-20 06:51 ,孑风洗陈超话,0,0,2,无
KbI1OpXSv,用户feilong,女,青海,5106,1147,用户feilong:#孑风洗陈[超话]#想不失败，要学会忍耐    🌹两头山羊在独木桥上相遇了，谁都不肯让对方，最后相撞，双双掉入悬崖当中。这就是告诉我们，和别人争斗，虽然你可以解气，你也可能把别人撞下悬崖，但是要记住，你付出的代价，那是和别人一起掉进悬崖。    我们对天灾人祸要学会忍耐，对自己的清苦一生要学会忍耐，学佛当中讲究忍耐，你就能够超脱苦海，因为忍耐是学佛人的基础。    要学会放下对别人的抱怨，因为经常抱怨别人的人，他就拥有了失败的基础。因为抱怨没有任何作用，只会给自己的内心增加痛苦，与其抱怨别人，还不如自己好好地去努力。    所以，要想不失败，都要为成功做准备，学会忍耐。能够成功的人，一定不会抱怨和嫉恨别人，忘记自己的痛苦，心平气和地接受失败，这才是一个智者的姿态。    因为抱怨无法改变现实，只有拼搏才能带来希望，我们的佛性不要被自己埋没，只要是真佛，一定会佛光普照啊。     我们放下犹豫，学佛精进，心胸宽大，在这个慈悲的世界当中，人才会拥有和谐的生命。    宽容别人是一种美德，学佛人要学会像大海一样，宽容别人，不管你往大海里倒入污水还是脏水，它照样把你染化成一片绿色的海洋，大海的宽阔胸怀永远处在最低处，所以，要学会在自己的心灵当中保留一块纯洁的海洋和空间，那就是你佛性常住的地方。 ,无,2021-04-20 04:07 ,孑风洗陈超话,0,0,0,无
