微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
KbAVKazH1,詹姆斯资讯-KING,男,黑龙江,137,330677,詹姆斯资讯-KING:中国民间三大扣篮王，176的“扣篮帝”陈登星，178的“云南滑翔机”矣进宏，178的“佛山林书豪”钟显超。  [组图共9张] 原图 ,无,2021-04-18 10:25,即刻笔记,101,0,0,无
KbAcNpybr,娱乐啵一啵,男,江苏,510,875506,"娱乐啵一啵:张哲瀚、陈飞宇、刘耀文加盟《这！就是灌篮3》，教练团：杨鸣、林书豪、郭艾伦。优酷片单发布···这就是灌篮 第三季来啦！明星团：张哲瀚 、陈飞宇 、刘耀文 ；教练团：林书豪 、杨鸣、郭艾伦这其中,艺人团队中的张哲瀚在18、19年就和林书豪打过球,不知道这次会不会碰出什么不一样的火花？  [组图共6张] 原图 ",无,2021-04-18 08:12 ,iPhone 12,263,11,8,无
KbA3hflar,刘楚非,女,海外,51,456,刘楚非:【每日动态】1.丁程鑫他们队里都喜欢叫他丁哥，他确实是一个温柔喜欢照顾别人的人，而且他们团从小到大这么多年，的确感情很好，所以在刚刚模拟考试完又坐车又跑步去给张真源过生日可以想的到，年少感情最珍贵。2.快乐大本营近期录制嘉宾：丁程鑫、成毅、张予曦、张艺兴、黄磊、彭昱畅、张子枫等。3.央视五一晚会录制嘉宾嘉宾：张若昀、杨千嬅、许魏洲、张卫健、李佳琦、张靓颖、汪峰、钟镇涛、徐帆、郑云龙、于和伟等。4.《这！就是灌篮3》，教练团：杨鸣、林书豪、郭艾伦，明星团：张哲瀚、陈飞宇、刘耀文  。5.丁真现在算是半个艺人，综艺、影视、时尚现在都有涉猎。 ,无,2021-04-18 07:49 ,iPhone 11 Pro Max(暗夜绿),0,0,0,无
KbxAIw40R,扒组吃瓜菌,女,河南,5000,1626817,"扒组吃瓜菌:张哲瀚、陈飞宇、刘耀文加盟《这！就是灌篮3》，教练团：杨鸣、林书豪、郭艾伦。优酷片单发布,这就是灌篮第三季来啦！明星团：张哲瀚、陈飞宇 、刘耀文；教练团：林书豪 、杨鸣、郭艾伦希望是真的,既想看哲瀚，又担心他的腿   [组图共6张] 原图 ",无,2021-04-18 01:33 ,iPhone客户端,0,0,0,无
Kbx2DvA0J,Themis-w,女,山东,248,305,Themis-w:关注林书豪不是因为篮球，而是因为他有点沙雕（或者去掉有点）  原图 ,无,2021-04-18 00:09 ,iPhone客户端,3,0,2,无
KbwRjEAbl,箐儿竹青zq,女,湖南,224,122,箐儿竹青zq:#张哲瀚[超话]#zzh@张哲瀚疯子 《这！就是灌篮3》拟邀教练团：杨鸣、林书豪、郭艾伦明星团：张哲瀚、陈飞宇、刘耀文 怎么办～虽然好想看到他的赛场英姿～但还是有点担心他的腿伤未愈会受伤～！  [组图共4张] 原图 ,无,2021-04-18 23:41,张哲瀚超话,1,0,0,无
KbwtT2vZB,黄立新Alex,男,广东,477,517,黄立新Alex:林书豪-李群篮球联盟 珠海 黄立新Alex的微博视频  显示地图 ,无,2021-04-18 22:43,微博视频号,1,0,0,无
Kbwng6gbt,大圣体育官微,女,湖北,642,50746,大圣体育官微:猛龙：我们都知道，在当初老鹰将林书豪买断之后。他选择的下家就是猛龙队，之所以会被球队看重，与他之前与猛龙队的较量离不开关系。在1月9号的比赛中，当时老鹰与猛龙的比赛中，最终林书豪在出场将近34分的时间里，成功拿下2049的数据。#NBA# #吐槽个球#  [组图共9张] 原图 ,无,2021-04-18 22:27,微博 weibo.com,0,0,1,无
KbwhA4Twj,宅小北,女,北京,203,12773,宅小北:本来只想感慨一下 但看到首钢返场致谢球迷 川队鼓励队友喊come on真是忍不住泪目…历史惊人的相似，依旧是对阵广东，依旧是错失绝杀…… 上赛季林书豪最后出手未果 晓川跑过去安慰他的那幕还记忆犹新。当时觉得没事儿，咱下赛季再来…… 但这存有遗憾的一个又一个赛季就这么过去，听到方硕 晓宇 晓川 朱西开始变为解说口中的“老将”我便有些惧怕时间流逝，不知重建那个依旧有他们所在的“北京王朝”要待到何时……这赛季困难太多也非同寻常，黑九奇迹最终没能上演十分可惜，不过值得肯定的是打深圳和广东这两场看到了熟悉的北京全队篮球 首钢精神还在 新人小将们也未来可期……💪🏻 总结经验，输就一起抗！希望川队赶紧养好伤病……我很爱很爱的你们，下赛季见……#北京首钢#  @翟晓川Aysy0118 💙🤍 [组图共6张] 原图 ,无,2021-04-18 22:13,翟晓川超话,5,0,4,无
KbvBjoUfM,雨若70708,女,黑龙江,521,261,雨若70708:#邓伦维护球员发飙##林书豪挺邓伦#必须支持 邓伦维护球员硬刚裁判，你是否支持他的行为？  ,无,2021-04-18 20:29,iPhone客户端,1,0,0,无
