微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
KbOqCaLBa,真夏夢中启介儿,男,上海,922,1483,真夏夢中启介儿:突然想到，你说柯哀注定没好结局就不磕，可我觉得否定单箭头的喜欢人生一定会变得无趣。所以不管怎样，我都喜欢你@SNH48-张怀瑾  ,无,2021-04-20 20:26,◢⁴⁶iPhone XS,0,0,0,无
KbOpVEOzM,挽月_半夜数星星,女,重庆,237,171,挽月_半夜数星星:#柯哀[超话]#小兰都知道柯南喜欢小哀，还当着小哀的面抱柯南。气抖冷！！！他们圈子，都知道柯哀应该是一对连步美现在都是更亲近小哀而不是柯南知道避嫌气抖冷(抖个激灵，无意黑柯哀党的兰，兰:我是柯哀党啊，我是姐姐)  [组图共2张] 原图 ,无,2021-04-20 20:24,柯哀超话,1,0,1,无
KbOoe9pHD,胜稞快乐追星,女,黑龙江,556,122,胜稞快乐追星:开心的事🈶柯哀发糖了 上山 阿西都是过期快乐可咋整    快点正能量   赐予我正能量吧哈哈哈哈哈哈哈哈哈哈哈哈哈哈快耶斯开心快乐每一天  ,无,2021-04-20 20:20,nova 7 SE 5G 活力版,0,0,0,无
KbOo4EIqz,棣梵高,男,黑龙江,142,437,棣梵高:柯哀  [组图共6张] 原图 ,无,2021-04-20 20:20,iPhone客户端,0,0,0,无
KbOn0f4Tw,是滴滴么,女,浙江,350,173,是滴滴么:2021年了，我的首页还有人在嗑魔戒！还有人为了新兰和柯哀吵架。果然只要活得够久什么都可以看见！  ,无,2021-04-20 20:17,iPhone客户端,0,0,0,无
KbOia0SBK,烂片地狱,男,北京,203,2323194,烂片地狱:柯南剧场版票房破亿，据说实际观影中，柯哀画面增多？你去看了吗？#柯南# 烂片地狱的微博视频  ,无,2021-04-20 20:05,微博视频号,0,0,2,无
KbOhDsdvI,CentWind,男,江苏,197,364,CentWind:#灰原哀[超话]#为什么灰原哀超话可以发言，柯哀超话不能发言。在超话发东西和发微博有什么区别？  ,无,2021-04-20 20:04,灰原哀超话,0,0,0,无
KbOgHfCcB,捕捞银河,女,其他,1330,199,捕捞银河:连喜欢都不能明目张胆的小哀虽然一直磕柯兰但还是会为柯哀感动  [组图共2张] 原图 ,无,2021-04-20 20:02,iPhone客户端,2,0,0,无
KbOfJiGLv,杯装猕猴桃,女,四川,180,493,杯装猕猴桃:看到新兰和柯哀之争，立马站出来说一句我是坚定的柯哀党  ,无,2021-04-20 19:59,吃我一坨子Android,1,0,0,无
KbOfubewd,许不许都多,女,其他,105,2535,许不许都多:#柯哀[超话]#《逆旅》解禁第二篇《由暗生》。xl别搞我。🙏  [组图共2张] 原图 ,无,2021-04-20 19:58,柯哀超话,3,0,0,无
KbOf1fV8U,憨憨陈老婆,女,辽宁,5450,1447,憨憨陈老婆:#名侦探柯南[超话]#柯哀党别给哀招黑了真的，你们到处乱舞最后锅有我们唯粉背  ,无,2021-04-20 19:57,名侦探柯南超话,0,0,0,无
KbO9Q1Ouy,衣更真绪女仆装了再改名的红烧,女,广东,256,182,衣更真绪女仆装了再改名的红烧:#柯哀[超话]# 我不行了，这次剧场版让我梦回11年前，初中时在贴吧看文哭的撕心裂肺，刚刚在超话看了推文《竟渡河》，我有5，6年没看柯哀文了还是哭的撕心裂肺我的泪点就没变过呜呜呜，时光可以倒流，谢谢m24，让本社畜重回柯哀顺便问问还有没有类似《竟渡河》的文，求推  ,无,2021-04-20 19:44,柯哀超话,4,0,12,无
KbO8dzKsk,奶茶波波要半糖,女,北京,130,528,奶茶波波要半糖:2021年了，新兰党和柯哀党还在吵架，让我觉得自己仿佛回到了小学和贴吧时代还真是永远年轻，永远火冒三丈啊  ,无,2021-04-20 19:40,iPhone客户端,1,0,0,无
