微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
Kc4zK7VDJ,凤凰网科技,男,北京,1167,3668867,凤凰网科技:【#清华大学集成电路学院成立#】#清华大学成立集成电路学院#清华大学集成电路学院22日正式成立。@清华大学 党委书记陈旭当日宣读学院成立决定并致辞表示，集成电路学院为学校实体教学科研机构，隶属信息学院。据介绍，2020年10月，清华大学学位委员会投票通过设立集成电路科学与工程一级学科博士硕士学位授权点。2021年4月，为服务国家重大战略需求，聚焦国家关键领域，加快清华大学集成电路学科的发展，经清华大学第十四届党委第一百五十八次常委会会议讨论通过，决定成立清华大学集成电路学院。 （来源：中国新闻网李纯 马帅莎)http://t.cn/A6c0Mo2v ,无,2021-04-22 13:30,微博视频号,2,0,2,无
Kc4zK5IpD,内蒙古广播电视台,男,内蒙古,1249,503997,内蒙古广播电视台:【重磅！清华大学成立“芯片学院”】集成电路，被称为电子产品的“心脏”，是所有信息技术产业的核心。当前，我国集成电路产业持续保持高速增长，技术创新能力不断提高，产业发展支撑能力显著提升，但整体技术水平不高、核心产品创新能力不强、产品总体仍处于中低端等问题依然存在。http://t.cn/A6c0XJhi 原图 ,无,2021-04-22 13:30,北京日报APP,0,0,0,无
Kc4zbsYDx,央视网青年,女,北京,373,1379973,央视网青年:#清华大学成立集成电路学院#，致力于破解集成电路“卡脖子”难题。“中国芯”，冲鸭！  [组图共2张] 原图 ,无,2021-04-22 13:29,微博 weibo.com,5,0,1,无
Kc4zai9c3,新浪科技,女,北京,2264,24437133,新浪科技:【#清华大学集成电路学院成立#】#清华大学成立集成电路学院#清华大学集成电路学院22日正式成立。@清华大学 党委书记陈旭当日宣读学院成立决定并致辞表示，集成电路学院为学校实体教学科研机构，隶属信息学院。据介绍，2020年10月，清华大学学位委员会投票通过设立集成电路科学与工程一级学科博士硕士学位授权点。2021年4月，为服务国家重大战略需求，聚焦国家关键领域，加快清华大学集成电路学科的发展，经清华大学第十四届党委第一百五十八次常委会会议讨论通过，决定成立清华大学集成电路学院。 （来源：中国新闻网李纯 马帅莎)http://t.cn/A6c0Mo2v ,无,2021-04-22 13:29,微博视频号,5,2,1,无
Kc4yCmxpg,反社会emo女孩,女,其他,529,1503,反社会emo女孩:@清华大学 能回关我吗？  ,无,2021-04-22 13:28,妍的iPhone XR,0,0,0,无
Kc4yngafI,满春红ko,男,上海,54,159625,满春红ko:还有一个方向华为鸿蒙，常山北明一直异动底部放量，我今天也介入了，鸿蒙喊了那么久华为也该在宣传上发力了，看好鸿蒙大生态，再有清华大学成立了集成电路学院，这也是一个里程碑事件，半导体人才有望源源不断输出了。  ,无,2021-04-22 13:27,坚果手机 R1,8,0,1,无
Kc4ymo1Eu,胡济卫,男,河南,1502,5194,胡济卫:清华大学成立“芯片学院” 清华大学成立“芯片学院”  ,无,2021-04-22 13:27,分享按钮,0,0,0,无
Kc4y1Dwcs,Intergouvernementalisation,女,北京,6,5147,Intergouvernementalisation:#清华大学成立集成电路学院#集成电路产业算是如日中天薪资待遇也不错了  ,无,2021-04-22 13:26,微博国际版,0,0,0,无
Kc4xauuLc,首都专家微博群,男,北京,355,801456,首都专家微博群:【揭牌！#清华大学成立集成电路学院#，瞄准“中国芯”】@清华大学 110周年校庆来临之际，4月22日#清华大学集成电路学院揭牌#成立。学院瞄准国家重大产业需求，聚焦集成电路学科前沿，瞄准集成电路“卡脖子”难题，开展高水平的科学研究和高层次人才培养。@ 莘莘学子，新的flag来了！（人民网）  [组图共4张] 原图 ,无,2021-04-22 13:24,微博 weibo.com,0,0,0,无
Kc4x8piSa,学霸师兄,男,北京,145,90443,学霸师兄:#清华大学成立集成电路学院#正式揭牌！清华大学成立集成电路学院，瞄准“中国芯”！ 学霸师兄的微博视频  ,无,2021-04-22 13:24,微博视频号,0,0,0,无
Kc4x5ubqj,不是豆芽呀,女,浙江,231,145,不是豆芽呀:#清华大学成立集成电路学院#不懂就问，今年研究生扩招不  ,无,2021-04-22 13:24,小米手机,0,0,1,无
Kc4wRfXvu,集微网官方微博,男,北京,155,5045552,集微网官方微博:【#清华大学集成电路学院成立#，加快培养高层次IC人才】4月22日，清华大学集成电路学院正式揭牌成立。这是2020年7月“集成电路科学与工程”被设立为一级学科以来，我国高校在推动集成电路人才培养方面落下的重要一子。http://t.cn/A6c0JG6k  [组图共2张] 原图 ,无,2021-04-22 13:23,微博 weibo.com,2,4,0,无
Kc4wR3Rfp,尼玛币是也,男,云南,147,38507,尼玛币是也:真是好消息呐，清华大学成立集成电路学院，研发集成电路芯片，以后的中国芯片使用问题将不受制于他国了，可喜可贺🎉 #清华大学成立集成电路学院#  [组图共2张] 原图 ,无,2021-04-22 13:23,K30 至尊纪念版,1,0,0,无
Kc4wJkydk,贵阳晚报,男,贵州,246,1750861,贵阳晚报:【#2021中国国际大数据博览会将于5月26日在贵阳举办#】4月22日，记者从2021中国国际大数据产业博览会新闻发布会（以下简称数博会）上获悉，2021数博会将于今年5月26日至28日在贵州省贵阳市举行。本届数博会的大会主题是“数据创造价值 创新驱动未来”，年度主题是“数智变 物致新”，将采取线上线下相融合的办会模式，组织“一会、一展、一发布、大赛及系列活动”。贵阳市、贵安新区作为国家大数据（贵州）综合试验区核心区，始终在大数据发展领域先行先试、领先领跑，大数据产业发展实现从“风生水起”到“落地生根”再到“集聚成势”的精彩“三级跳”。2020年，贵阳市、贵安新区大数据企业达到5000多个，规模以上大数据企业达到117个，数字经济增加值达到1649亿元，占地区生产总值比重达到38.2%，大数据与实体经济深度融合发展水平指数达到51.1。经党中央、国务院批准，2021数博会定于今年5月26日至28日在贵州省贵阳市举行。本届数博会由国家发展和改革委员会、工业和信息化部、国家互联网信息办公室、贵州省人民政府主办，由商务部支持，由国家发展和改革委员会、工业和信息化部、国家互联网信息办公室有关司局，中国科学院科技战略咨询研究院、中国互联网协会、中国国际贸易促进委员会北京市分会、贵阳市人民政府、贵安新区管委会及贵州省大数据局等部门共同承办。本届数博会的大会主题是“数据创造价值 创新驱动未来”，年度主题是“数智变 物致新”，采取线上线下相融合的办会模式，组织“一会、一展、一发布、大赛及系列活动”。“一会”指开幕式和闭幕式，包括6场高端对话和10场专业论坛等会议活动。开幕式将邀请国家领导人出席并作重要讲话，国际著名奖项获得者、两院院士及著名企业家发表主旨演讲。高端对话主题分别为“数据安全”“5G驱动数智化转型”“工业互联网驱动产业数字化转型”“全球数字服务贸易”“大数据助力乡村振兴”“场景大数据”等。专业论坛主题包括“数字政府建设与治理现代化”“第五届大数据科学与工程国际会议”“第三届位置服务科技论坛”等。  “一展”即“数博展览”，设置国际综合馆、前沿技术馆、数字应用馆、智慧产业馆四个主题展馆，集中展示大数据领域新技术、新产品、新方案、新应用。目前确认参展企业近200家，包括华为、百度、阿里、腾讯、京东、中国移动、中国电信、中国联通、360、浪潮、联想、奇安信、东芝电子、美国昆腾、松下数据等企业。此外，我们还设置了国家大数据（贵州）综合试验区专题展区，集中展示易鲸捷、享链等贵州大数据企业最新建设成果。“一发布”即“数博发布”，以评选“数博会领先科技成果奖”为载体，征集发布全球最前沿、最具颠覆性、最具影响力、最具创新性的“黑科技”“新产品”“新技术”“商业模式”等。目前，华为、腾讯、百度、蚂蚁金服、科大讯飞、贝壳、高德、小米、奇安信、360、清华大学、南京大学等企业、高校、科研机构已申报发布项目近600项。“大赛及系列活动”即以打造权威经典大数据行业赛事为目标，筹办“工业APP融合创新大赛”和“贵阳大数据及网络安全精英对抗演练赛”。同时，组织“数博投资大会”、产业招商、人才引进及大数据观摩体验等系列活动。目前，上海合作组织秘书处、以色列驻成都总领事馆、韩国全罗北道等已确定在数博会期间筹办大数据相关主题活动。据了解，数博会已经成功举办6届，已逐步发展成为充满合作机遇、引领行业发展的国际性盛会和共商发展大计、共享最新成果的世界级平台，不仅为贵州大数据发展创造了机遇、汇聚了资源，也为全球大数据发展贡献了中国智慧、提供了中国方案。（贵阳日报融媒体记者 安勇毅 编辑：艾柒） [组图共2张] 原图 ,无,2021-04-22 13:24,微博 weibo.com,0,0,0,无
Kc4wJjrKt,科创中国,男,其他,157,130036,科创中国:【揭牌！#清华大学成立集成电路学院#，瞄准“中国芯”】@清华大学 110周年校庆来临之际，4月22日#清华大学集成电路学院揭牌#成立。学院瞄准国家重大产业需求，聚焦集成电路学科前沿，瞄准集成电路“卡脖子”难题，开展高水平的科学研究和高层次人才培养。@ 莘莘学子，新的flag来了！（人民网）  [组图共4张] 原图 ,无,2021-04-22 13:24,微博 weibo.com,1,0,0,无
