微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
KbOr2dbxO,Oh_La_La_,女,北京,462,344,Oh_La_La_:穆萨登贝莱加盟马竞，这对于德甲和西甲绝不是好消息，已经开始为联赛冠军未雨绸缪。假如这个登贝莱能很好融入马竞，锋线上就会有至少四种选择，西蒙尼更可以看人下菜。欧冠在下半程的隔山相豆，就意甲更有挑战了。皇马需要一个神奇的阿扎 尔，需要更出色的英超 ?  原图 ,无,2021-04-20 20:27,佛教闻思修超话,0,0,0,无
KbOpsF7L3,反买,男,海外,227,269436,反买:当选皇马三月最佳球员，本泽马：接下来每场比赛都是决赛本泽马在此前被评为了皇马三月最佳球员，他在近日领取了奖杯，并接受了采访。#欧冠# 本泽马在三月的西甲比赛中表现出色，并且连场取得进球。#欧冠联赛# 本泽马在接受官方采访时说到：“对我们来说，每个球队都在面对皇马时表现出色，他们会退后防守，等待我们进攻，然后打反击。我们需要在每场比赛中踢出自己的足球，并考虑三分。”#五大联赛# “每场比赛都将是决赛，我们必须想着去赢下每场比赛，为三分而战。我们知道剩下的比赛不多了，但是都很难。”#足球# 原图 ,无,2021-04-20 20:23,无,0,0,1,无
KbOnyaHtP,反买,男,海外,227,269436,反买:ESPN：下周的欧冠半决赛将如期进行据ESPN的消息，欧足联计划下周的欧冠半决赛将如期进行。#欧冠# 2020/21赛季欧冠半决赛，两组对阵分别是巴黎vs曼城，皇马vs切尔西，除巴黎外，其他三家都是欧洲超级联赛创始俱乐部，据此前媒体报道，欧足联可能将曼城、皇马和切尔西踢出欧冠半决赛。#欧冠联赛# 不过据ESPN最新报道声称，消息人士告诉该媒体，欧足联本周不考虑将他们从半决赛中踢出去，下周的比赛将如期进行。#五大联赛# 按照赛程安排，北京时间4月28日凌晨，皇马将主场对阵切尔西，4月29日凌晨，曼城将客战巴黎。#足球# 原图 ,无,2021-04-20 20:18,无,2,0,1,无
KbOnnj4U4,皇马球迷俱乐部,男,海外,156,1944826,皇马球迷俱乐部:凭借上个月的出色表现，本泽马被MAHOU评选为三月皇马最佳球员。. 皇马球迷俱乐部的微博视频  ,无,2021-04-20 20:18,微博视频号,4,0,2,无
KbOnfkn9U,挖图志,男,福建,583,1857923,挖图志:#曝皇马、切尔西、曼城或被踢出欧冠#欧冠四强对阵来啦！巴黎圣日耳曼vs#曼城皇马vs切尔西#今日热门# 挖图志的微博视频  ,无,2021-04-20 20:18,微博视频号,1,0,0,无
KbOn2zEnG,反买,男,海外,227,269436,反买:Goal：姆巴佩已经让身边人开始在马德里找房据Goal报道，巴黎前锋姆巴佩目前正在马德里找房。Goal独家报道，姆巴佩目前正在马德里找房，他已经让自己的身边人开始在西班牙首都寻找住处。#五大联赛# 对于姆巴佩来说，他是皇马下一个转会窗口的头号引援目标，而姆巴佩与巴黎的合同在2022年到期。#欧冠联赛# 据西班牙四台此前报道，巴黎没有参加欧超联赛加速了姆巴佩想要加盟皇马的想法。 原图 ,无,2021-04-20 20:17,无,1,0,0,无
KbOlL4s2z,足球转会新闻,男,上海,621,265247,足球转会新闻:根据TA消息，目前#欧洲超级联赛#的最大推手是四家俱乐部，他们是#皇马#、#曼联#、#利物浦#以及#阿森纳#，其中三家#英超#豪门均是美国老板。这里多说一句，其实这也是英国佬一直不希望英超俱乐部彻底沦为老板玩物的原因，当年阿布买切尔西，克伦克买阿森纳的股权等，其实都有本土那些“老顽固”担心这担心那，他们也有他们的理由，一旦俱乐部私有化，主动权就不再掌握在本地人手里，更与球迷无关，现在这些俱乐部就是老板们的私人玩物。曼联、阿森纳和利物浦的老板都是美国人，切尔西老板是俄罗斯的，曼城是石油爹，如果你是本地人，站在他们的角度上，你会同意这些外国老板瞎胡闹么？假如中超已经是世界顶级联赛，你会同意最大的那几支豪门老板—假如他们是韩国人或者日本人—另立门户，成立一个有损于本国联赛的赛事吗？所以这个问题上，国内球迷大多数是看热闹的，甚至很支持，国外球迷则基本都不答应，哪怕是“既得利益者”的球迷也不答应，而且大家也都提到了一个问题：损害了这项运动的竞争精神和公平性，这比欧足联的腐败问题要严重的多，欧足联提供的好歹是一个建立在竞争基础上的赛事，机制上还算公平，不公平的只是很多问题上处理不到位，人为导致的灾难，而欧超联赛从成立之初的出发点上就是“非正义的”，属于程序不正义。 原图 ,无,2021-04-20 20:14,微博 weibo.com,3,2,3,无
KbOkHvCcJ,川体在线官博,男,四川,871,15173,川体在线官博:【#弗洛伦蒂诺提议缩短足球比赛时间#】#欧洲超级联赛正式成立# 。欧超主席，皇马掌门人弗洛伦蒂诺在采访中甚至表示：“如果年轻人觉得足球比赛时间太长，可能是因为比赛不够有趣，或者我们可能不得不缩短足球比赛的时间…… 有些比赛我自己都看不下去。”  原图 ,无,2021-04-20 20:11,Android,0,0,0,无
KbOjC9rNO,欧宝体育-官方,男,其他,304,201809,欧宝体育-官方:【#塞维利亚# 主教练#洛佩特吉# 发表对#欧洲超级联赛# 的看法】据悉，塞维利亚球队主教练洛佩特吉对欧洲超级联赛发表了看法。目前已经有12个豪门球队成立了欧洲超级联赛，其中包括了皇马、巴萨和马竞三个西甲球队。在发布会上谈到欧超联赛时，洛佩特吉说道：“我并没有了解完全的信息让我来给出观点，这有很多的不确定性，我想要保持谨慎。我希望的，是发生的一切能对足球来说是好事。” 原图 ,无,2021-04-20 20:09,无,0,0,1,无
KbOhz1nMO,皇马球迷资讯,女,海外,196,796249,皇马球迷资讯:rubenuria：姆巴佩开始在马德里看房子了。🏠#皇马转会传闻#  原图 ,无,2021-04-20 20:03,皇马超话,16,0,7,无
