微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
Kc3GK71eE,MIC芜苠,女,辽宁,500,484,MIC芜苠:#钱文青[超话]# 宣一下5.3长沙场的物料～手幅 ✖️ 50吧唧 ✖️ 30方卡 ✖️ ？？？ （好多张[单身狗]画手@Bbaryan  再次感谢美女没啥领取要求，线下随缘发吧  [组图共5张] 原图 ,无,2021-04-22 11:15 ,钱文青超话,3,0,9,无
Kc3372Jby,不愧是TINA天天,女,海外,344,491,不愧是TINA天天:两年来又一次严重失眠虽然过去五年天天失眠但是这次final连着半个月每天睡得虚无缥缈烦躁到每分每秒都想下楼跑圈昨晚睡前还是忍不住喝了挺多只记得我喝醉了边哭边拖着皙皙大喊“我要请钱老师吃饭！！！”脸都没了#钱文青[超话]#  ,无,2021-04-22 09:38 ,钱文青超话,0,0,0,无
Kc29Qyhe0,日不落叶落,女,海外,217,113,日不落叶落:#钱文青[超话]# 超话吃的最近变少了我来凑个热闹  原图 ,无,2021-04-22 07:22 ,钱文青超话,1,0,9,无
Kc08GlD41,茸茸的小蓝毛,女,湖南,425,25,茸茸的小蓝毛:喜欢的CV太多了怎么办羊仔 兔兔 静香 双儿 梅梅 赵成晨  李兰陵  钱文青 阿杰 金弦  ,无,2021-04-22 02:13 ,荣耀10青春版,0,0,0,无
KbZeWwA3g,蜜兮兮_,女,海外,2120,1832,蜜兮兮_:#钱文青[超话]#第302天，晚安啦[笑哈哈]  ,无,2021-04-21 23:56,钱文青超话,0,0,0,无
KbYOJkhT5,橙挚or2,女,山东,342,75,橙挚or2:#钱文青[超话]#努力加油(ง •̀_•́)ง[允悲]  原图 ,无,2021-04-21 22:51,钱文青超话,0,0,4,无
KbYuPFBcm,杨欢喜,女,海外,119,2997,杨欢喜:#钱文青[超话]# [牛年大吉]  [组图共2张] 原图 ,无,2021-04-21 22:02,钱文青超话,2,0,5,无
KbYfOB0rY,YYYoung333,女,香港,179,44,YYYoung333:#钱文青[超话]#wb唯二的中奖都是小钱老师[可爱]可可爱爱的欧气接住！  原图 ,无,2021-04-21 21:25,钱文青超话,3,0,10,无
KbY4ufbsg,樱桃派嗑颜,男,广东,433,2140,樱桃派嗑颜:？钱文青和胡良伟真的能合作cp吗 怎么就是“得不到的人”了？嗯？撞号了都[懒得理你]  ,无,2021-04-21 20:57,微博国际版,1,0,0,无
KbY4ksUP1,小伙翘课不迟到,男,江西,683,216,小伙翘课不迟到:Hlw前几天遇见了和盛望工作了🙊Hlw:钱文青配了一个得不到我的男人是盛望不配么是么  ,无,2021-04-21 20:57,HUAWEI P20 Pro,1,0,0,无
KbY2Jd0Fh,不吃北极熊,女,海外,350,69,不吃北极熊:……看剧的尝试竟然夭折在配音上 看周峻纬的脸发出钱文青的声音仿佛在看双簧表演  ,无,2021-04-21 20:53,HUAWEI nova 3,1,0,2,无
KbWHUFieM,看你说谎_hua,女,江苏,697,330,看你说谎_hua:钱文青老师最近有没有要上线的主役的广播剧嘛快出广播剧嘛快出嘛快出嘛  原图 ,无,2021-04-21 17:29,HUAWEI P30,0,0,3,无
KbWfygpdF,木木Sybil盛,女,广东,405,598,木木Sybil盛:#钱文青[超话]#52 随缘  [组图共2张] 原图 ,无,2021-04-21 16:19,钱文青超话,2,0,6,无
KbVjXbORV,Waiting_For_WH,女,海外,74,6035,Waiting_For_WH:2012 我们假戏真做吧 阿春&乘风归去2013 甲方大佬，乙方流氓 景向谁依&乘风归去2014 不法之徒 天空&朴枫2015 蓝波万 天空&乘风归去2016 山河日月 落雨&雨灏2017 无2018 小白杨 羊仔&八千里路         彼得潘与幸德瑞拉 羊仔&景向谁依2019 社交温度 林予曦&倔强的小红军         落池 景向谁依&倒霉死勒2020 想飞升就谈恋爱 钱文青&景向谁依         迪奥先生 羊仔&景向谁依2021 当年万里觅封侯 苏尚卿&郝祥海其实这么看，因为我不追剧，基本只听完结，还有些剧听着听着就弃了，真正听完还特别喜欢的剧真的不多啊还有些是冲着cv去听的，对剧本身还真的一般般，喜欢的一年也就一两部而已 ,无,2021-04-21 13:57,K30 至尊纪念版,0,0,6,无
KbUgAdGpG,细雨mianmian,女,其他,539,108,细雨mianmian:#钱文青[超话]#5月2日广州场线下无料  PART2①明信片*80；②明信片*80；③书签*80④吧唧*50⑤子推燕钥匙扣*40⑥钱三岁表情包贴纸*125领取条件详情见海报🈲倒卖图①照片@超爱吃豆腐的猫 谢谢小可爱授权图②照片来源于钱老师自拍 [组图共2张] 原图 ,无,2021-04-21 11:16,钱文青超话,10,2,19,无
KbTZFh9Xv,杨欢喜,女,海外,119,2997,杨欢喜:#钱文青[超话]# [牛年大吉]  ,无,2021-04-21 10:35,钱文青超话,0,0,0,无
KbTgSf7Ey,蜜兮兮_,女,海外,2120,1832,蜜兮兮_:#钱文青[超话]#哈哈，50个小鱼干  原图 ,无,2021-04-21 08:44,钱文青超话,3,0,5,无
KbT6W5OVd,_离云遮月隐笙箫,女,广东,964,323,_离云遮月隐笙箫:#钱文青[超话]##🇬🇧 生活小记# 终于认识了做饭比我好吃的家伙  [组图共2张] 原图 ,无,2021-04-21 08:20,钱文青超话,3,0,3,无
KbQs48oKG,日不落叶落,女,海外,217,113,日不落叶落:#钱文青[超话]# 干饭干饭～千层面！我好饿  原图 ,无,2021-04-21 01:34,钱文青超话,1,0,7,无
