微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
KbAK1vjAB,树荫上的小太阳,女,山东,190,92,树荫上的小太阳:倪迦走后，陈劲生在家中自杀。如果我走了你可以去找我。倪迦，我这辈子都不会找你。                                                   —《痛仰》  ,无,2021-04-18 09:57,荣耀8X,1,0,0,无
Kbxh9i4V6,愿人间再无脂肪,女,其他,801,161,愿人间再无脂肪:第一天 陈劲生我爱了第二天 江忍yyds第三天 段嘉许老狗贼  原图 ,无,2021-04-18 00:45 ,HUAWEI Mate 30 5G,0,0,0,无
Kbx553HYf,吃个太空喜之郎,女,其他,845,1203,吃个太空喜之郎:#痛仰小说##陈劲生 倪伽##陈劲生[超话]#我也可以向死而生吗  原图 ,无,2021-04-18 00:15 ,nova7SE 5G你在焦点在,0,0,1,无
Kbx3bcSZu,点点miraitowa,女,山东,195,91,点点miraitowa:陈劲生 花又开了  原图 ,无,2021-04-18 00:10 ,HUAWEI Mate 30 5G,1,0,0,无
KbwYXDQFV,陈森瑶,女,浙江,287,482,陈森瑶:#陈劲生[超话]#呃还是透卡 小卡下次一定抱图吱声 禁二传 二改返图请艾特我[兔子]  [组图共3张] 原图 ,无,2021-04-18 00:00 ,陈劲生超话,9,0,8,无
KbwIX7IMS,桐可爱吖,女,辽宁,389,231,桐可爱吖:#陈劲生[超话]#陈劲生 花又开了  [组图共5张] 原图 ,无,2021-04-18 23:20,陈劲生超话,1,0,2,无
KbwsEcLax,-叽叽不高兴,女,其他,107,8,-叽叽不高兴:向生 向死而生 向着陈劲生  ,无,2021-04-18 22:40,Redmi 10X 4G版,0,0,0,无
KbwnHgcIX,向着陈劲生_,女,黑龙江,108,63,向着陈劲生_:#陈劲生[超话]#阿生好🉑  [组图共2张] 原图 ,无,2021-04-18 22:28,陈劲生超话,2,0,4,无
KbweHB7je,生丞子,女,辽宁,419,156,生丞子:#陈劲生[超话]# 笑死了今天去把耳洞打了耶✌️小时候我妈不让 现在突然让了哈哈哈哈笑死了我就把它搞了 图2 周五学校晚课拍的[鲜花]  [组图共2张] 原图 ,无,2021-04-18 22:06,陈劲生超话,2,0,0,无
KbjQqi8gw,人间万事屋,女,海外,3,160,人间万事屋:#痛仰# 这小说写得还不错 陈劲生 上头 另一本酸梅也好看 番外啥的也看完了 偏偏宠爱 小清欢 最近的小说都上头  原图 ,无,2021-04-17 14:33,iPhone客户端,0,0,1,无
