微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
KbPSTqBOQ,西奚_,女,海外,144,26,西奚_:#黄明昊抓鸡#这这这。。。吓人的词条！  ,无,2021-04-21 00:08,HUAWEI P30,0,0,0,无
KbPSk0mpx,-汀昊软糖NA-,女,浙江,1031,890,-汀昊软糖NA-:#justin黄明昊密室大逃脱##黄明昊爱情神话##黄明昊极限挑战# 0421   今日积分，互捞互评！黄明昊 hmh Justin 密室大逃脱@jjjustin0219   ,无,2021-04-21 00:07,保护我方黄明昊超话,1,0,4,无
KbPSb41bk,多肉小汀粥,女,上海,1055,1957,多肉小汀粥:#每日一善[超话]#弘扬爱国主义精神，必须坚持立足民族又面向世界。中国的命运与世界的命运紧密相关。我们要把弘扬爱国主义精神与扩大对外开放结合进来，尊重各国的历史特点、文化传统，尊重各国人民选择的发展道路，善于从不同文明中寻求智慧、汲取营养，增强中华文明生机活力。#justin黄明昊密室大逃脱# [组图共9张] 原图 ,无,2021-04-21 00:07,每日一善超话,0,0,0,无
KbPS3p6pb,椰奶咖_,女,其他,82,204,椰奶咖_:#黄明昊粉丝闲置兑换[超话]# 收儿科pb加明信片  ,无,2021-04-21 00:06,黄明昊粉丝闲置兑换超话,0,0,0,无
KbPRXrbdM,Jeffary鋒,男,浙江,45,23,Jeffary鋒:#黄明昊爱情神话# 💚 #黄明昊极限挑战#今日积分！目标30条评论，谢谢。黄明昊 hmh Justin  极限挑战@jjjustin0219  ,无,2021-04-21 00:06,保护我方黄明昊超话,0,0,2,无
KbPROjQ58,快乐小女孩er,男,辽宁,1031,391,快乐小女孩er:我和黄明昊合照有了  原图 ,无,2021-04-21 00:06,vivo X50专业影像旗舰,0,0,0,无
KbPRGk1FN,桃子小姐羽,女,其他,159,335,桃子小姐羽:我在#极限挑战#幸福能量榜互动中#黄明昊极限挑战# ，和@jjjustin0219 一起去看幸福！快来一起打call吧！@东方卫视极限挑战 极限挑战幸福能量榜  ,无,2021-04-21 00:05,Android,0,0,0,无
KbPRGk1FN,桃子小姐羽,女,其他,159,335,桃子小姐羽:我在#极限挑战#幸福能量榜互动中#黄明昊极限挑战# ，和@jjjustin0219 一起去看幸福！快来一起打call吧！@东方卫视极限挑战 极限挑战幸福能量榜  ,无,2021-04-21 00:05,Android,0,0,0,无
KbPQG3EoB,tintin麻麻,女,广东,121,94,tintin麻麻:金曲青春那3秒预告镜头反复看了n遍，黄明昊太好看了叭舞台果然是最绝的  ,无,2021-04-21 00:03,iPhone客户端,0,0,0,无
KbPQohz49,Justin黄明昊网宣组,女,其他,397,229253,Justin黄明昊网宣组:📣【极挑能量榜】📣⚠️必须切昊送咔！！！下面有便捷拿分，大家速看！1⃣️极挑🔗👉🏻http://t.cn/A6cUk0mK（排名：2，昨日涨幅：12.4w 比昨天有进步，还不够！！）🔴用以下文案进🔗做发微博，发十条可直接做满提及➕互动20分。（⚠️此方法对账hao权重有伤害，抢评🐭勿用！切小🐭发➕送加油卡）//@jjjustin0219:我在#极限挑战#幸福能量榜互动中，和@jjjustin0219 一起去看幸福！快来一起打call吧#黄明昊极限挑战# ！@东方卫视极限挑战（此处表情需更换）我在#极限挑战#幸福能量榜互动中，和@jjjustin0219 一起去看幸福！快来一起打call吧！@东方卫视极限挑战  完成打咔：#黄明昊极限挑战# @jjjustin0219 [组图共2张] 原图 ,无,2021-04-21 00:02,黄明昊超话,3,3,18,无
KbPQaoeC4,娱乐男神会馆,女,天津,247,483152,娱乐男神会馆:#NINEPERCENT#【蔡徐坤、陈立农、范丞丞、黄明昊（Justin）、林彦俊、朱正廷、王子异、小鬼（王琳凯）、尤长靖】让我们一起来回忆一下小鬼在大厂的舞台吧~ 娱乐男神会馆的微博视频  ,无,2021-04-21 00:01,综艺大咖秀超话,1,0,0,无
KbPQ7pOhL,月亮很亮_0219,女,广东,454,415,月亮很亮_0219:#黄明昊极限挑战# 4⃣️#黄明昊金曲青春# 0421，今日积分，互捞互评！黄明昊 hmh Justin 极限挑战@jjjustin0219jjjustin0219的微博视频  ,无,2021-04-21 00:01,保护我方黄明昊超话,1,0,9,无
KbPQ6wzq7,新娱,男,北京,563,3170187,新娱:【今夜互动】被综艺之神眷顾的孩子，又贡献了一个翻车名场面，被鸡哥吓到跳起来的小贾，太难了！需要看个翻车合集来冷静一下~@jjjustin0219 #黄明昊抓鸡# #新娱[超话]#  [组图共9张] 原图 ,无,2021-04-21 00:01,黄明昊超话,137,125,126,无
KbPPYyXDz,JJJJJUSTINHMH,女,四川,100,128,JJJJJUSTINHMH:#黄明昊[超话]#宝贝的18岁线上首唱会真的很成功以后多来些舞台吧期待你的个人演唱会 JJJJJUSTINHMH的微博视频  ,无,2021-04-21 00:01,黄明昊超话,4,0,1,无
