微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
KbB0d3c7b,星扒客Firstly,女,北京,1278,6585276,星扒客Firstly:最近几部新剧的路透，站姐们很会拍，也很会修，每张照片的氛围都好好。刘亦菲、陈晓《梦华录》杨洋、赵露思《且试天下》任嘉伦、迪丽热巴《驭鲛记》罗云熙、陈飞宇《皓衣行》张新成《默读》  [组图共9张] 原图 ,无,2021-04-18 10:36,无,498,99,87,无
KbAZfioeW,MOA_z,女,其他,1609,210,MOA_z:笑死，我拿着从学生那里收上来的《默读》在那看，被政教员夸：不错啊，响应多多阅读的号召  ,无,2021-04-18 10:34,iPhone客户端,0,0,0,无
KbAV6dJUS,全网厌男比赛一等奖获得者,女,其他,424,1646,全网厌男比赛一等奖获得者:默读id一百遍🙏  ,无,2021-04-18 10:24,iPhone X,0,0,0,无
KbARTFvIS,法比颂明克,女,江西,3053,191,法比颂明克:看到PUA，虽然没有遇见过，但以前见过一个男生，开始玩得还挺好，后来聊天就变味儿了：我说要赚好多钱，他说我拜金；我说周末不想出去玩，他下一秒发地图定位：“我在你家门口。”可怜当时我年龄小，啥都不懂。直到我给他推了p大《默读》里的一些摘抄，他说“这是什么玩意儿。”“你就看这些东西？”“怪不得思想有问题。”我：？？？竟敢侮辱《默读》？那不就是在侮辱我？md这人价值观有问题！从此成为路人。 ,无,2021-04-18 10:16,拯救者电竞手机Pro,0,0,0,无
KbAQG48ZS,潮美搭师,女,山东,582,2295411,潮美搭师:#电视剧默读#默读 闻舟渡我 费渡 骆闻舟  我想笑，噗哈哈哈…… 潮美搭师的微博视频  ,无,2021-04-18 10:13,微博视频号,0,0,0,无
KbAOgyZ71,潮美搭师,女,山东,582,2295411,潮美搭师:#电视剧默读#默读%费渡 赶紧把骆闻舟叫来，他家费渡又又又拿了虐文剧本 潮美搭师的微博视频  ,无,2021-04-18 10:07,微博视频号,0,0,0,无
KbAO2mXmH,潮美搭师,女,山东,582,2295411,潮美搭师:#电视剧默读#默读 闻舟渡我 心疼陶然，哈哈哈，骆闻舟和费渡没在一起时他是夹心小饼干，骆闻舟费渡在一起之后他还是夹心小饼干 潮美搭师的微博视频  ,无,2021-04-18 10:06,微博视频号,1,0,1,无
KbALwCgFN,潮美搭师,女,山东,582,2295411,潮美搭师:#电视剧默读#默读骆闻舟费渡闻舟渡我 让我们恭喜费总终于下床了 潮美搭师的微博视频  ,无,2021-04-18 10:00,微博视频号,0,1,0,无
KbAKVorKD,进击的Xsama,男,其他,113,24,进击的Xsama:❤❤➕位❤：bnxx018乐可TXTAWM绝地求生势不可挡by柴鸡蛋冉尔作品集 默读小说你丫上瘾了by柴鸡蛋卡比丘文集 水千丞作品合集撒野广播剧 乐可txt 金银花露提灯看刺刀by淮上作品集天涯客by priest 合集臣服1-4墨青城苟苟by夏小正合集唇枪by金十四钗  ,无,2021-04-18 09:59,微博 weibo.com,0,0,0,无
KbAKUt0Pz,潮美搭师,女,山东,582,2295411,潮美搭师:#电视剧默读#默读 破亿甜蜜小剧场，有亿点甜～%原耽 %原耽女孩 %声控 %广播剧 %骆闻舟 潮美搭师的微博视频  ,无,2021-04-18 09:58,微博视频号,0,0,0,无
KbAKq6mMG,潮美搭师,女,山东,582,2295411,潮美搭师:#电视剧默读#哪些书名十分具有迷惑性的小说%默读 %全球高考 %魔道祖师 潮美搭师的微博视频  ,无,2021-04-18 09:57,微博视频号,0,0,0,无
KbA7JdCmq,微杂志,女,北京,367,935851,微杂志:繁忙本身绝不是一种痛苦， 只要知道自己为什么而忙。——priest《默读》#微杂志[超话]# #世界读书日#  原图 ,无,2021-04-18 08:00 ,微杂志超话,14,6,2,无
KbA7rhCfC,Party_ftl,男,上海,101,374,Party_ftl:默读上了之后 首页刷一个双向一个 yue  ,无,2021-04-18 07:59 ,💙iPhone 11 Pro,0,0,2,无
KbzYzDrnk,介介蘇我一辈子,女,浙江,1297,215,介介蘇我一辈子:默读真是yyds  ,无,2021-04-18 07:37 ,iPhone 12 Pro Max,0,0,0,无
KbzJKBj9M,随意_平和_朝暮,女,北京,1554,127,随意_平和_朝暮:#猫耳FM#Priest原著《默读》广播剧 第四季 韦尔霍文斯基第十五集 - UP 主：声音气球 @猫耳FM Priest原著《默读》广播剧 第四季 韦尔霍文斯基第十五集  原图 ,无,2021-04-18 07:00 ,iPhone 7,0,0,0,无
KbyCF9eZG,油菜_自言自语bot,女,河北,186,1114,油菜_自言自语bot:半夜睡不着重听默读，一句早就设了启动音听了无数遍的你是我打算共度一生的人直接不用睡了。在大环境不允许的情况下我希望这个世界再也没有耽改两个字🙏无论多么诚意的改编只要还有无法说出口的话和情感都是一坨狗屎  ,无,2021-04-18 04:10 ,iPhone客户端,0,0,0,无
KbxHlgdp5,哈哈我看见常威打来福,男,广东,412,229,哈哈我看见常威打来福:要子元➕韦💖:mkk9493管腿嘱里你们解呃图昂好就次，破云，FOG，死亡万花筒将进酒，默读，某某广播剧，飞欧不下，喜欢➕  ,无,2021-04-18 01:49 ,情话超话,0,0,0,无
KbxhVu77G,27码不像话,女,其他,407,139,27码不像话:默读能把付辛博和陈卓璇换了吗，艹！  ,无,2021-04-18 00:46 ,iPhone客户端,0,0,0,无
KbxbJivww,哈哈我看见常威打来福,男,广东,412,229,哈哈我看见常威打来福:要子元➕韦💖:mkk9493管腿嘱里你们解呃图昂好就次，破云，FOG，死亡万花筒将进酒，默读，某某广播剧，飞欧不下，喜欢➕  ,无,2021-04-18 00:31 ,情话超话,0,0,0,无
Kbx3JaGLE,保持ED,女,其他,561,1148,保持ED:他把我的微博默读一遍 现在我又回顾一遍 有时候我觉得他什么都知道 他只是不说 他什么也不问 好像明天不算明天 现在只是现在  ,无,2021-04-18 00:11 ,iPhone客户端,0,0,0,无
KbwYEddNl,我可以摸摸你的龙角么,女,广东,346,407,我可以摸摸你的龙角么:默读，现实主义作品。唯一不太现实的就是费渡，因为在那种家庭背景下，费渡正常的可能性几乎没有。然而，他却像个童话一样立在这个残酷无比的故事里，一部分融入深渊，另一部分在深渊之上，半明半灭得摇着。还好有个骆闻舟，把费渡从极端割裂的世界里拉到一个温软的，打着柔光滤镜的氛围里。这个依然残酷的现实里少了深渊的拖拽，两颗心终于落到一起。读者作为旁观者，一边被残酷绞杀，一边被二人的行为认知所感染，从巨大的悲悯里生出几分坚定来。大概就是传说中的英雄主义了吧。 ,无,2021-04-18 23:59,无,2,0,1,无
KbwUFpFvH,哈哈我看见常威打来福,男,广东,412,229,哈哈我看见常威打来福:要子元➕韦💖:mkk9493管腿嘱里你们解呃图昂好就次，破云，FOG，死亡万花筒将进酒，默读，某某广播剧，飞欧不下，喜欢➕  ,无,2021-04-18 23:49,情话超话,0,0,0,无
Kbwz8nH34,红砖墙白瓦片,女,其他,203,105,红砖墙白瓦片:#默读##默读广播剧##729声工场# 默读yyds！！！看一回上头一回！！感谢P大写了这么棒的文为骆警官和费爷的爱情鼓掌👏👏👏729声工场牛逼！！每位配音老师都配得好棒，完全是角色本人，后期做得太赞了，听得我疯狂起鸡皮疙瘩！！！  ,无,2021-04-18 22:56,HUAWEI Mate 10,0,0,1,无
KbwxfDhKt,没有故事的旗同学,男,其他,173,14657,没有故事的旗同学:默读，费渡代餐我可以！  [组图共6张] 原图 ,无,2021-04-18 22:51,华为畅享10 Plus,0,0,0,无
